GO term	Category	background genes	 candidate gene	p-value	q-value
GO:0002790   peptide secretion	BP 5	263(160)	23 (14.4%)	0.00042	0.102
GO:0046879   hormone secretion	BP 5	314(191)	26 (13.6%)	0.000435	0.102
GO:0005509   calcium ion binding	MF 5	687(413)	46 (11.1%)	0.000466	0.0512
GO:0004872   receptor activity	MF 2	1583(532)	56 (10.5%)	0.000495	0.0233
GO:0044057   regulation of system process	BP 4	431(250)	31 (12.4%)	0.00067	0.0894
GO:0003012   muscle system process	BP 4	353(230)	29 (12.6%)	0.000754	0.0894
GO:0007586   digestion	BP 3	150(46)	10 (21.7%)	0.000781	0.066
GO:0034341   response to interferon-gamma	BP 5	159(90)	15 (16.7%)	0.000891	0.157
GO:0021537   telencephalon development	BP 3	225(170)	23 (13.5%)	0.000991	0.0699
GO:0007165   signal transduction	BP 4	5642(3541)	277 (7.8%)	0.00114	0.108
GO:0034097   response to cytokine	BP 4	715(455)	48 (10.5%)	0.00117	0.108
GO:0015850   organic hydroxy compound transport	BP 4	219(123)	18 (14.6%)	0.00139	0.115
GO:0044707   single-multicellular organism process	BP 2	6658(4092)	314 (7.7%)	0.00162	0.0455
GO:0007186   G-protein coupled receptor signaling pathway	BP 5	1279(369)	40 (10.8%)	0.00178	0.192
GO:0004896   cytokine receptor activity	MF 5	89(35)	8 (22.9%)	0.00184	0.0914
GO:0006936   muscle contraction	BP 5	293(189)	24 (12.7%)	0.00189	0.192
GO:0060485   mesenchyme development	BP 4	220(147)	20 (13.6%)	0.00193	0.145
GO:0015838   amino-acid betaine transport	BP 5	13(9)	4 (44.4%)	0.00193	0.192
GO:0042613   MHC class II protein complex	CC 5	17(9)	4 (44.4%)	0.00193	0.0794
GO:0005615   extracellular space	CC 2	1338(615)	60 (9.8%)	0.00206	0.0375
GO:0090087   regulation of peptide transport	BP 5	266(159)	21 (13.2%)	0.00218	0.192
GO:0044092   negative regulation of molecular function	BP 3	1058(770)	72 (9.4%)	0.00236	0.131
GO:0004866   endopeptidase inhibitor activity	MF 5	172(71)	12 (16.9%)	0.00251	0.0914
GO:0009986   cell surface	CC 2	728(424)	44 (10.4%)	0.00253	0.0375
GO:0048584   positive regulation of response to stimulus	BP 4	2031(1389)	119 (8.6%)	0.00259	0.149
GO:0015833   peptide transport	BP 5	324(194)	24 (12.4%)	0.00268	0.198
GO:0045759   negative regulation of action potential	BP 4	6(5)	3 (60.0%)	0.00272	0.149
GO:0038171   cannabinoid signaling pathway	BP 4	6(5)	3 (60.0%)	0.00272	0.149
GO:0051101   regulation of DNA binding	BP 4	88(72)	12 (16.7%)	0.00283	0.149
GO:0051716   cellular response to stimulus	BP 2	6944(4535)	342 (7.5%)	0.00295	0.0566
GO:0070887   cellular response to chemical stimulus	BP 3	2572(1761)	146 (8.3%)	0.00304	0.131
GO:0044849   estrous cycle	BP 3	13(10)	4 (40.0%)	0.00305	0.131
GO:0015697   quaternary ammonium group transport	BP 4	17(10)	4 (40.0%)	0.00305	0.149
GO:0004857   enzyme inhibitor activity	MF 3	353(207)	25 (12.1%)	0.00306	0.124
GO:0042886   amide transport	BP 4	347(207)	25 (12.1%)	0.00306	0.149
GO:0010817   regulation of hormone levels	BP 3	490(275)	31 (11.3%)	0.00311	0.131
GO:0050994   regulation of lipid catabolic process	BP 5	47(30)	7 (23.3%)	0.00311	0.198
GO:0034774   secretory granule lumen	CC 5	63(30)	7 (23.3%)	0.00311	0.0794
GO:0030414   peptidase inhibitor activity	MF 4	181(73)	12 (16.4%)	0.00318	0.164
GO:0060205   cytoplasmic membrane-bounded vesicle lumen	CC 4	81(38)	8 (21.1%)	0.0032	0.247
GO:0042221   response to chemical	BP 2	4132(2527)	201 (8.0%)	0.00337	0.0566
GO:0043086   negative regulation of catalytic activity	BP 4	822(591)	57 (9.6%)	0.0034	0.157
GO:0021954   central nervous system neuron development	BP 5	75(56)	10 (17.9%)	0.00371	0.198
GO:0031983   vesicle lumen	CC 3	82(39)	8 (20.5%)	0.0038	0.182
GO:0043392   negative regulation of DNA binding	BP 5	47(39)	8 (20.5%)	0.0038	0.198
GO:0071310   cellular response to organic substance	BP 4	2103(1461)	123 (8.4%)	0.004	0.175
GO:0048583   regulation of response to stimulus	BP 3	3565(2523)	200 (7.9%)	0.00405	0.156
GO:0034284   response to monosaccharide	BP 5	177(125)	17 (13.6%)	0.00408	0.198
GO:0004871   signal transducer activity	MF 2	1663(647)	61 (9.4%)	0.00415	0.0974
GO:1903844   regulation of cellular response to transforming growth factor beta stimulus	BP 5	106(85)	13 (15.3%)	0.00418	0.198
GO:0048660   regulation of smooth muscle cell proliferation	BP 5	87(57)	10 (17.5%)	0.00424	0.198
GO:0061135   endopeptidase regulator activity	MF 4	177(76)	12 (15.8%)	0.00447	0.164
GO:0008559   xenobiotic-transporting ATPase activity	MF 3	3(2)	2 (100.0%)	0.0045	0.137
GO:1903937   response to acrylamide	BP 4	3(2)	2 (100.0%)	0.0045	0.187
GO:0021834   chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration	BP 5	3(2)	2 (100.0%)	0.0045	0.198
GO:0019958   C-X-C chemokine binding	MF 5	6(2)	2 (100.0%)	0.0045	0.0914
GO:0048659   smooth muscle cell proliferation	BP 4	89(58)	10 (17.2%)	0.00482	0.191
GO:0015399   primary active transmembrane transporter activity	MF 4	106(77)	12 (15.6%)	0.00498	0.164
GO:0015405   P-P-bond-hydrolysis-driven transmembrane transporter activity	MF 5	106(77)	12 (15.6%)	0.00498	0.0914
GO:0004930   G-protein coupled receptor activity	MF 5	883(138)	18 (13.0%)	0.00499	0.0914
GO:0006955   immune response	BP 2	1569(873)	78 (8.9%)	0.0052	0.0728
GO:0030900   forebrain development	BP 3	358(251)	28 (11.2%)	0.00554	0.192
GO:0014031   mesenchymal cell development	BP 5	150(108)	15 (13.9%)	0.00555	0.222
GO:1903530   regulation of secretion by cell	BP 5	634(382)	39 (10.2%)	0.00568	0.222
GO:0023051   regulation of signaling	BP 3	2857(2083)	167 (8.0%)	0.0059	0.192
GO:0043241   protein complex disassembly	BP 5	300(276)	30 (10.9%)	0.00607	0.225
GO:1903825   organic acid transmembrane transport	BP 4	93(60)	10 (16.7%)	0.00618	0.233
GO:0050811   GABA receptor binding	MF 4	15(12)	4 (33.3%)	0.00645	0.177
GO:0010033   response to organic substance	BP 3	2764(1909)	154 (8.1%)	0.00663	0.193
GO:0032410   negative regulation of transporter activity	BP 4	63(43)	8 (18.6%)	0.00706	0.255
GO:0006956   complement activation	BP 3	72(19)	5 (26.3%)	0.00709	0.193
GO:1901700   response to oxygen-containing compound	BP 3	1413(951)	83 (8.7%)	0.0073	0.193
GO:0022600   digestive system process	BP 4	84(35)	7 (20.0%)	0.00768	0.265
GO:0044459   plasma membrane part	CC 2	2528(1400)	116 (8.3%)	0.00849	0.105
GO:0032045   guanyl-nucleotide exchange factor complex	CC 3	8(7)	3 (42.9%)	0.00859	0.309
GO:0060056   mammary gland involution	BP 4	10(7)	3 (42.9%)	0.00859	0.267
GO:0044252   negative regulation of multicellular organismal metabolic process	BP 5	9(7)	3 (42.9%)	0.00859	0.267
GO:0030277   maintenance of gastrointestinal epithelium	BP 5	17(7)	3 (42.9%)	0.00859	0.267
GO:0000165   MAPK cascade	BP 4	723(504)	48 (9.5%)	0.00864	0.267
GO:0005539   glycosaminoglycan binding	MF 3	198(103)	14 (13.6%)	0.00874	0.193
GO:0090484   drug transporter activity	MF 2	19(13)	4 (30.8%)	0.00883	0.123
GO:0015893   drug transport	BP 4	24(13)	4 (30.8%)	0.00883	0.267
GO:0061178   regulation of insulin secretion involved in cellular response to glucose stimulus	BP 4	47(36)	7 (19.4%)	0.00899	0.267
GO:0021543   pallium development	BP 3	151(114)	15 (13.2%)	0.00912	0.227
GO:0051046   regulation of secretion	BP 5	685(406)	40 (9.9%)	0.00923	0.267
GO:0061134   peptidase regulator activity	MF 3	216(104)	14 (13.5%)	0.0095	0.193
GO:0009966   regulation of signal transduction	BP 4	2517(1845)	148 (8.0%)	0.00951	0.269
GO:1901701   cellular response to oxygen-containing compound	BP 4	893(622)	57 (9.2%)	0.00971	0.269
