# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/umi/two_cell.counts.txt" "data/umi/two_cell.sorted.bam" "data/umi/two_cell.umi.bam" 	# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/population/NA19239_yale.counts.txt" "data/population/NA19239_yale.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	data/umi/two_cell.sorted.bam	data/umi/two_cell.umi.bam	data/population/NA19239_yale.sorted.bam
ENSG00000242614	chr13	96821799	96822099	+	301	0	0	0
ENSG00000233273	chr13	97225913	97226753	+	841	0	0	0
ENSG00000205822	chr13	24982295	25171814	+	189520	1	1	10
ENSG00000235137	chr13	97536096	97542067	-	5972	72	12	188
ENSG00000243300	chr13	97593535	97636426	-	42892	0	0	1
ENSG00000266216	chr13	25129366	25129451	-	86	0	0	0
ENSG00000244615	chr13	25140981	25144866	+	3886	0	0	0
ENSG00000234267	chr13	97599891	97601181	-	1291	0	0	0
ENSG00000243008	chr13	25141011	25171814	+	30804	0	0	0
ENSG00000272329	chr13	97600272	97601838	+	1567	0	0	0
ENSG00000211508	chr13	25183217	25183313	+	97	0	0	0
ENSG00000222472	chr13	97601503	97601787	-	285	0	0	0
ENSG00000207474	chr13	25277694	25277803	-	110	0	0	0
ENSG00000252154	chr13	97618195	97618268	-	74	0	0	0
ENSG00000225404	chr13	25278476	25278926	-	451	0	0	0
ENSG00000238522	chr13	97709633	97709734	+	102	0	0	0
ENSG00000233124	chr13	97824723	97831876	-	7154	0	0	0
ENSG00000231417	chr13	25316815	25320322	+	3508	0	0	3
ENSG00000202290	chr13	98015226	98015355	-	130	0	0	0
ENSG00000271625	chr13	98127996	98128713	+	718	1	1	75
ENSG00000226695	chr13	25324795	25326309	-	1515	0	0	0
ENSG00000226134	chr13	98327265	98330217	-	2953	0	0	0
ENSG00000238407	chr13	98538063	98538166	+	104	0	0	0
ENSG00000233291	chr13	98553907	98554542	+	636	0	0	0
ENSG00000270725	chr13	98591610	98605793	+	14184	0	0	1
ENSG00000253771	chr13	25498815	25542625	-	43811	1	1	27
ENSG00000232217	chr13	98639204	98639470	-	267	0	0	0
ENSG00000222969	chr13	98856089	98856446	-	358	0	0	0
ENSG00000263399	chr13	98860778	98860854	+	77	0	0	0
ENSG00000269189	chr13	98885904	98886954	+	1051	0	0	0
ENSG00000269599	chr13	98981909	98985490	-	3582	0	0	0
ENSG00000251299	chr13	25517713	25518636	+	924	0	0	0
ENSG00000231194	chr13	99087659	99088094	-	436	0	0	0
ENSG00000271437	chr13	99205497	99206034	+	538	0	0	0
ENSG00000232858	chr13	25562715	25563063	-	349	138592	432	514
ENSG00000224418	chr13	99229498	99231084	+	1587	0	0	4
ENSG00000256305	chr13	25715794	25716046	+	253	0	0	0
ENSG00000217686	chr13	99262546	99263130	-	585	0	0	19
ENSG00000234056	chr13	25746966	25754217	-	7252	0	0	0
ENSG00000233549	chr13	99281940	99282243	-	304	0	0	0
ENSG00000238169	chr13	25755579	25763898	+	8320	0	0	2
ENSG00000233662	chr13	99293068	99293493	-	426	3	1	59
ENSG00000225105	chr13	25767245	25784433	-	17189	3	2	0
ENSG00000243366	chr13	99324234	99324529	+	296	0	0	0
ENSG00000235315	chr13	25780187	25780644	+	458	0	0	0
ENSG00000229918	chr13	99484338	99486883	+	2546	0	0	0
ENSG00000221324	chr13	25820669	25820753	+	85	0	0	0
ENSG00000260509	chr13	25874262	25875576	-	1315	0	0	2
ENSG00000231981	chr13	99601973	99602701	-	729	0	0	0
ENSG00000234152	chr13	25939937	25940293	-	357	2080	16	43
ENSG00000265546	chr13	26027137	26027428	-	292	0	0	0
ENSG00000207298	chr13	99677488	99677599	+	112	0	0	0
ENSG00000199767	chr13	26091257	26091363	+	107	0	0	0
ENSG00000260992	chr13	99740073	99740879	+	807	0	0	2
ENSG00000180803	chr13	26437388	26437805	-	418	0	0	0
ENSG00000230871	chr13	99825847	99826744	+	898	1	1	0
ENSG00000242381	chr13	26518632	26518891	+	260	0	0	0
ENSG00000223158	chr13	26524842	26524959	-	118	0	0	0
ENSG00000231983	chr13	26626414	26627523	-	1110	0	0	0
ENSG00000234005	chr13	99842833	99843245	-	413	1	1	3
ENSG00000228889	chr13	99848631	99852964	-	4334	1	1	10
ENSG00000233963	chr13	26688547	26728313	-	39767	1	1	1
ENSG00000201793	chr13	99857962	99858260	+	299	0	0	0
ENSG00000218502	chr13	99867626	99868012	-	387	0	0	0
ENSG00000207719	chr13	100008385	100008482	+	98	0	0	0
ENSG00000234706	chr13	26691686	26693102	-	1417	0	0	0
ENSG00000228808	chr13	100024427	100024940	+	514	0	0	0
ENSG00000271559	chr13	26803469	26803781	-	313	0	0	0
ENSG00000238241	chr13	100060035	100061316	-	1282	0	0	5
ENSG00000227882	chr13	26808350	26811266	+	2917	0	0	0
ENSG00000266207	chr13	100105650	100105723	-	74	0	0	0
ENSG00000203441	chr13	100151981	100153306	-	1326	0	0	4
ENSG00000234031	chr13	27151023	27151812	+	790	0	0	0
ENSG00000212197	chr13	100188573	100188650	-	78	0	0	0
ENSG00000234168	chr13	100229366	100232622	+	3257	0	0	0
ENSG00000237001	chr13	27180681	27215501	-	34821	0	0	0
ENSG00000234239	chr13	100234960	100235434	+	475	0	0	0
ENSG00000230256	chr13	27479499	27479998	+	500	0	0	0
ENSG00000223782	chr13	27551680	27551926	+	247	0	0	0
ENSG00000263615	chr13	100295313	100295403	+	91	0	0	0
ENSG00000218198	chr13	27591688	27592046	-	359	35	11	0
ENSG00000227659	chr13	100342335	100343225	-	891	0	0	0
ENSG00000232162	chr13	27736992	27743272	+	6281	0	0	0
ENSG00000234303	chr13	100378501	100379745	-	1245	0	0	0
ENSG00000230641	chr13	27746396	27757135	+	10740	0	0	4
ENSG00000234772	chr13	27810419	27810948	-	530	0	0	3
ENSG00000201245	chr13	100436111	100436237	-	127	0	0	0
ENSG00000238305	chr13	100436308	100436411	-	104	0	0	0
ENSG00000207500	chr13	27829201	27829272	+	72	0	0	0
ENSG00000260738	chr13	100647153	100650163	-	3011	0	0	0
ENSG00000207051	chr13	27829538	27829663	+	126	0	0	0
ENSG00000221756	chr13	27894150	27894296	+	147	0	0	0
ENSG00000225999	chr13	100680023	100680428	-	406	0	0	0
ENSG00000252247	chr13	27917785	27917883	-	99	5	3	0
ENSG00000229609	chr13	27947485	27948503	+	1019	0	0	0
ENSG00000236554	chr13	100714550	100715855	-	1306	0	0	1
ENSG00000201242	chr13	27976613	27976724	-	112	0	0	0
ENSG00000203602	chr13	28008286	28008752	-	467	0	0	0
ENSG00000252499	chr13	28062275	28062369	+	95	0	0	0
ENSG00000228501	chr13	100802735	100803346	-	612	0	0	0
ENSG00000226703	chr13	28270530	28271341	-	812	0	0	2
ENSG00000270632	chr13	100850441	100850723	-	283	0	0	0
ENSG00000207330	chr13	28402900	28403006	+	107	0	0	0
ENSG00000234650	chr13	101116694	101133411	-	16718	0	0	0
ENSG00000247381	chr13	28407581	28495541	-	87961	2915	17	34
ENSG00000260704	chr13	28527663	28529507	+	1845	0	0	5
ENSG00000242360	chr13	28563435	28563721	-	287	0	0	0
ENSG00000224356	chr13	101187995	101232371	-	44377	0	0	0
ENSG00000271026	chr13	28641724	28642471	+	748	0	0	0
ENSG00000235115	chr13	28681568	28682014	+	447	72	7	8
ENSG00000234354	chr13	101192089	101192528	-	440	0	0	0
ENSG00000261485	chr13	28710980	28712330	-	1351	0	0	12
ENSG00000237082	chr13	101276129	101276683	-	555	0	0	0
ENSG00000232587	chr13	28788650	28790034	+	1385	0	0	0
ENSG00000200840	chr13	28806638	28806744	+	107	0	0	0
ENSG00000233009	chr13	101360579	101711638	+	351060	25	9	17
ENSG00000235472	chr13	29172970	29174189	+	1220	0	0	240
ENSG00000202237	chr13	29277839	29277944	-	106	0	0	0
ENSG00000214051	chr13	101408805	101409313	-	509	0	0	0
ENSG00000233588	chr13	29296523	29298158	-	1636	1	1	28
ENSG00000229599	chr13	101593116	101596618	-	3503	0	0	0
ENSG00000236339	chr13	29352695	29353074	+	380	0	0	0
ENSG00000272349	chr13	102369198	102369728	-	531	0	0	0
ENSG00000221670	chr13	29796699	29796778	+	80	0	0	0
ENSG00000201155	chr13	102431234	102431398	-	165	0	0	0
ENSG00000236758	chr13	29813516	29824691	-	11176	0	0	0
ENSG00000215399	chr13	102454228	102454838	+	611	0	0	0
ENSG00000265164	chr13	102619992	102620096	-	105	0	0	0
ENSG00000223460	chr13	29880915	29881922	+	1008	0	0	0
ENSG00000229975	chr13	102654475	102655660	+	1186	0	0	0
ENSG00000270680	chr13	29913703	29914006	-	304	0	0	0
ENSG00000201690	chr13	102669303	102669419	-	117	0	0	0
ENSG00000179141	chr13	30050652	30064242	-	13591	0	0	0
ENSG00000264482	chr13	102698284	102698354	-	71	0	0	0
ENSG00000236860	chr13	102915396	102915552	-	157	0	0	0
ENSG00000236258	chr13	30440096	30440306	-	211	0	0	0
ENSG00000224329	chr13	30446750	30462542	-	15793	1	1	3
ENSG00000243319	chr13	102944677	103046869	-	102193	0	0	0
ENSG00000224405	chr13	30492784	30500788	-	8005	0	0	0
ENSG00000234445	chr13	103019889	103026016	+	6128	0	0	0
ENSG00000122043	chr13	30510042	30524625	+	14584	0	0	0
ENSG00000272143	chr13	103046980	103048053	+	1074	0	0	0
ENSG00000266505	chr13	30596158	30597937	-	1780	0	0	0
ENSG00000270581	chr13	103053821	103054807	-	987	0	0	0
ENSG00000261057	chr13	103241722	103242163	-	442	0	0	0
ENSG00000224511	chr13	30677315	30683012	-	5698	0	0	0
ENSG00000269942	chr13	103331776	103332308	+	533	0	0	0
ENSG00000232117	chr13	30726023	30733758	-	7736	1	1	0
ENSG00000238869	chr13	103374152	103374255	+	104	0	0	0
ENSG00000231633	chr13	103395340	103397574	+	2235	0	0	0
ENSG00000232643	chr13	30728203	30728723	+	521	0	0	0
ENSG00000222301	chr13	103472343	103472419	+	77	0	0	0
ENSG00000266816	chr13	30780753	30780836	-	84	0	0	0
ENSG00000252928	chr13	30855902	30856006	+	105	0	0	0
ENSG00000250878	chr13	103532449	103548383	+	15935	0	0	3
ENSG00000215049	chr13	30870284	30870872	+	589	0	0	0
ENSG00000272542	chr13	103541208	103542184	+	977	0	0	0
ENSG00000236463	chr13	30890497	30894040	-	3544	1	1	8
ENSG00000234551	chr13	104077550	104080035	+	2486	0	0	0
ENSG00000230474	chr13	104096970	104097318	-	349	0	0	0
ENSG00000225823	chr13	105466678	105467420	+	743	4	4	1
ENSG00000232307	chr13	106111404	106158030	-	46627	9	1	0
ENSG00000238121	chr13	30914407	30951282	-	36876	57	5	348
ENSG00000226620	chr13	106356629	106416789	+	60161	0	0	0
ENSG00000225039	chr13	30993656	30996374	-	2719	0	0	10
ENSG00000252550	chr13	106549872	106549992	-	121	0	0	0
ENSG00000236444	chr13	31002084	31002656	+	573	10764	94	267
ENSG00000222643	chr13	106780720	106780837	+	118	0	0	0
ENSG00000222682	chr13	106807721	106807839	-	119	0	0	0
ENSG00000213411	chr13	31113734	31117598	-	3865	0	0	0
ENSG00000233532	chr13	107028911	107030565	+	1655	0	0	0
ENSG00000232489	chr13	31115780	31117034	-	1255	0	0	0
ENSG00000174418	chr13	107078121	107078470	+	350	118	15	37
ENSG00000224117	chr13	31127807	31128830	+	1024	0	0	0
ENSG00000272274	chr13	107270158	107283707	+	13550	0	0	1
ENSG00000230156	chr13	107306264	107324511	+	18248	3753	43	8
ENSG00000237879	chr13	31377343	31384782	+	7440	0	0	1
ENSG00000227590	chr13	107315785	107316195	+	411	0	0	0
ENSG00000174408	chr13	107516164	107516634	-	471	7	3	1
ENSG00000224743	chr13	31456070	31507983	-	51914	0	0	0
ENSG00000196777	chr13	107594562	107594907	-	346	0	0	0
ENSG00000239050	chr13	107627286	107627374	-	89	0	0	0
ENSG00000221316	chr13	107773381	107773471	+	91	0	0	0
ENSG00000201847	chr13	107973243	107973311	-	69	0	0	0
ENSG00000221650	chr13	108183519	108183596	-	78	0	0	0
ENSG00000221473	chr13	108288379	108288464	+	86	0	0	0
ENSG00000227248	chr13	108440690	108487799	-	47110	0	0	0
ENSG00000223177	chr13	108953560	108953679	-	120	0	0	0
ENSG00000232087	chr13	109132574	109134165	+	1592	0	0	0
ENSG00000229938	chr13	109753609	109754267	-	659	0	0	0
ENSG00000236094	chr13	31456688	31457532	+	845	0	0	0
ENSG00000236242	chr13	109816250	109853831	-	37582	0	0	0
ENSG00000238185	chr13	31547426	31551760	-	4335	73	1	0
ENSG00000223617	chr13	109934321	109940081	+	5761	3512	15	0
ENSG00000230233	chr21	19986749	20022678	+	35930	0	0	0
ENSG00000230403	chr13	31569299	31570275	-	977	0	0	0
ENSG00000236053	chr13	109962483	109964121	+	1639	0	0	0
ENSG00000265841	chr21	20058408	20058482	-	75	0	0	0
ENSG00000231894	chr13	31651391	31689836	+	38446	0	0	0
ENSG00000229792	chr13	110053043	110053988	+	946	0	0	0
ENSG00000221041	chr21	20076689	20076772	-	84	0	0	0
ENSG00000234854	chr13	110380629	110382354	+	1726	0	0	0
ENSG00000198618	chr21	20230097	20230594	+	498	2383	22	660
ENSG00000229427	chr13	31885426	31887058	+	1633	0	0	0
ENSG00000255813	chr13	110407168	110407615	-	448	0	0	0
ENSG00000201161	chr13	110567443	110567767	+	325	0	0	0
ENSG00000231428	chr13	110705632	110707299	+	1668	0	0	0
ENSG00000232193	chr21	20290252	20308177	-	17926	0	0	0
ENSG00000229715	chr13	32420978	32527609	+	106632	17	9	188
ENSG00000226204	chr21	20325582	20339376	-	13795	0	0	0
ENSG00000265885	chr13	110750200	110750498	-	299	0	0	1
ENSG00000238629	chr13	111066552	111066653	+	102	0	0	0
ENSG00000235965	chr21	20418629	20420003	-	1375	0	0	0
ENSG00000224821	chr13	111108743	111115634	-	6892	0	0	0
ENSG00000235822	chr13	32559822	32565134	+	5313	0	0	0
ENSG00000229289	chr21	20502841	20506741	+	3901	0	0	0
ENSG00000237637	chr13	32599451	32605776	-	6326	0	0	4
ENSG00000232814	chr13	111154922	111160526	-	5605	0	0	0
ENSG00000226818	chr21	20616860	20618709	+	1850	0	0	1
ENSG00000230633	chr13	32872291	32872849	+	559	0	0	1
ENSG00000255831	chr13	111291555	111292340	+	786	0	0	0
ENSG00000231620	chr21	20673930	20676056	+	2127	0	0	0
ENSG00000215515	chr13	32958797	32960245	+	1449	0	0	0
ENSG00000225239	chr13	111415021	111415480	-	460	10	9	1
ENSG00000212609	chr21	20717465	20717629	+	165	0	0	0
ENSG00000259831	chr13	111462023	111465431	-	3409	0	0	0
ENSG00000212293	chr13	32994527	32994653	-	127	0	0	0
ENSG00000230198	chr21	20966155	20966422	+	268	7	2	5
ENSG00000270008	chr13	32999495	33007091	-	7597	0	0	1
ENSG00000229152	chr13	111547406	111551519	-	4114	0	0	0
ENSG00000271486	chr21	20993009	20993859	+	851	0	0	0
ENSG00000229336	chr21	21112023	21112464	+	442	3	2	23
ENSG00000229800	chr13	33051411	33052978	+	1568	0	0	0
ENSG00000227105	chr13	111589106	111592131	+	3026	45	3	505
ENSG00000215353	chr21	21131673	21132442	-	770	8	1	1
ENSG00000233480	chr21	21265593	21272069	-	6477	0	0	0
ENSG00000225760	chr13	111635654	111642911	+	7258	0	0	1
ENSG00000233236	chr21	21629065	21631133	-	2069	0	0	0
ENSG00000225870	chr13	111748185	111755444	+	7260	0	0	0
ENSG00000251851	chr21	21728060	21728164	-	105	0	0	0
ENSG00000252963	chr21	21728965	21729208	+	244	0	0	0
ENSG00000235875	chr13	111766159	111768025	-	1867	0	0	0
ENSG00000207325	chr13	33337576	33337690	-	115	0	0	0
ENSG00000233676	chr21	21760646	21761157	+	512	0	0	0
ENSG00000226968	chr13	33451569	33485788	-	34220	8	4	1
ENSG00000233644	chr13	111774999	111796611	+	21613	0	0	0
ENSG00000234439	chr21	21797261	21798518	-	1258	0	0	0
ENSG00000227352	chr13	111796652	111797080	-	429	0	0	0
ENSG00000227604	chr13	33528195	33528539	-	345	0	0	4
ENSG00000233206	chr21	21802755	21803074	-	320	13	4	0
ENSG00000221677	chr13	33615489	33615580	+	92	0	0	0
ENSG00000215881	chr13	112248356	112294426	+	46071	0	0	0
ENSG00000230300	chr13	33732724	33738546	-	5823	0	0	0
ENSG00000226903	chr13	112554299	112555490	+	1192	0	0	0
ENSG00000224924	chr21	22114908	22175534	-	60627	3	1	1
ENSG00000264989	chr13	112563079	112563148	-	70	0	0	0
ENSG00000200072	chr13	112706392	112706452	+	61	0	0	0
ENSG00000260385	chr13	112737863	112739785	+	1923	0	0	0
ENSG00000229520	chr13	112760409	112761196	-	788	0	0	0
ENSG00000215351	chr21	22200445	22200940	-	496	8	3	0
ENSG00000224243	chr13	112761433	112762329	+	897	0	0	0
ENSG00000226771	chr21	22595616	22599150	-	3535	0	0	0
ENSG00000260102	chr13	112851664	112855314	+	3651	0	0	0
ENSG00000221210	chr21	22770068	22770146	-	79	0	0	0
ENSG00000234730	chr21	22939084	22987758	+	48675	3	1	0
ENSG00000260343	chr13	112967781	112976072	+	8292	0	0	0
ENSG00000198434	chr21	23006773	23007049	-	277	0	0	0
ENSG00000223626	chr13	112976881	112985539	-	8659	0	0	0
ENSG00000237527	chr21	23027359	23058649	-	31291	0	0	1
ENSG00000264726	chr13	113372159	113372228	-	70	0	0	0
ENSG00000232684	chr13	113399763	113409007	-	9245	0	0	0
ENSG00000238265	chr21	23095613	23109639	-	14027	0	0	0
ENSG00000234603	chr13	113539551	113539994	+	444	0	0	0
ENSG00000236581	chr13	33845516	33855471	+	9956	0	0	0
ENSG00000267868	chr13	113619149	113620445	-	1297	0	0	0
ENSG00000188403	chr15	20169919	20170354	-	436	0	0	0
ENSG00000235280	chr13	113621798	113623138	-	1341	0	0	0
ENSG00000269356	chr13	113663092	113663738	+	647	0	0	0
ENSG00000233997	chr21	23119293	23169735	+	50443	2	2	0
ENSG00000269376	chr13	113663985	113664633	+	649	0	0	0
ENSG00000231882	chr13	113782469	113783194	-	726	0	0	0
ENSG00000230371	chr13	113784730	113786368	+	1639	0	0	0
ENSG00000259490	chr15	20192909	20193370	-	462	3	1	0
ENSG00000269125	chr13	113819316	113819497	-	182	0	0	0
ENSG00000227075	chr21	23305635	23348000	-	42366	18	2	1
ENSG00000232662	chr13	113930931	113932049	+	1119	0	0	226
ENSG00000270961	chr15	20209093	20209115	-	23	0	0	0
ENSG00000225083	chr13	114005988	114016183	+	10196	0	0	0
ENSG00000233215	chr21	23381263	23470778	-	89516	1	1	0
ENSG00000233613	chr13	114123216	114130450	+	7235	0	0	0
ENSG00000271317	chr15	20210050	20210068	-	19	0	0	0
ENSG00000202347	chr13	114133230	114133393	-	164	0	0	0
ENSG00000227208	chr13	114451484	114454062	-	2579	0	0	0
ENSG00000270783	chr15	20211158	20211188	-	31	0	0	0
ENSG00000233695	chr13	114518603	114542321	+	23719	0	0	13
ENSG00000271197	chr15	20213655	20213685	-	31	0	0	0
ENSG00000272695	chr13	114567141	114569806	+	2666	0	0	1
ENSG00000184856	chr21	23470936	23488847	+	17912	0	0	0
ENSG00000227911	chr13	33907816	33909414	-	1599	0	0	0
ENSG00000237699	chr13	114580581	114582349	+	1769	0	0	0
ENSG00000271336	chr15	20216406	20216422	-	17	0	0	0
ENSG00000264288	chr13	33911020	33911109	-	90	0	0	0
ENSG00000265259	chr18	21852889	21853170	-	282	0	0	0
ENSG00000234340	chr21	23507018	23508403	-	1386	0	0	0
ENSG00000230490	chr13	33929343	34250905	-	321563	8	8	37
ENSG00000212051	chr18	21901650	21901699	+	50	0	0	0
ENSG00000226921	chr13	114581673	114586624	-	4952	0	0	0
ENSG00000264365	chr18	21944751	21947948	+	3198	0	0	0
ENSG00000273321	chr18	21982117	21982678	+	562	0	0	0
ENSG00000234535	chr13	34185104	34185659	+	556	0	0	0
ENSG00000232986	chr13	34231573	34234065	+	2493	0	0	0
ENSG00000199636	chr18	22009469	22009573	+	105	0	0	0
ENSG00000265094	chr18	22015328	22019602	+	4275	0	0	0
ENSG00000252397	chr13	34403676	34403786	-	111	0	0	0
ENSG00000263663	chr13	34486129	34486218	+	90	0	0	0
ENSG00000227254	chr13	34656566	34657447	-	882	2	1	0
ENSG00000229373	chr13	114586640	114626485	+	39846	0	0	2
ENSG00000199196	chr13	34674848	34674975	-	128	0	0	0
ENSG00000215405	chr15	20737094	20747114	-	10021	0	0	0
ENSG00000271850	chr13	34922180	35188307	+	266128	1	1	0
ENSG00000225179	chr13	35009587	35214822	-	205236	0	0	0
ENSG00000231136	chr21	23526270	23526619	-	350	0	0	0
ENSG00000260910	chr13	114629487	114631817	-	2331	0	0	0
ENSG00000271901	chr13	35120066	35245319	-	125254	2	2	1
ENSG00000202339	chr21	23577511	23577651	+	141	0	0	0
ENSG00000232487	chr13	114873044	114874295	-	1252	0	0	0
ENSG00000226043	chr21	23582258	23793139	+	210882	3	3	1
ENSG00000231910	chr13	35148341	35148803	-	463	0	0	0
ENSG00000264539	chr13	115009980	115010036	+	57	0	0	0
ENSG00000261728	chr13	35499971	35502213	-	2243	0	0	0
ENSG00000223488	chr21	23808610	23810669	-	2060	0	0	11
ENSG00000265450	chr13	115039303	115039383	+	81	0	0	0
ENSG00000232795	chr13	35759431	35760816	+	1386	0	0	0
ENSG00000226158	chr13	115072121	115072541	+	421	0	0	2
ENSG00000234835	chr13	35825207	35825966	+	760	0	0	0
ENSG00000229723	chr13	115095034	115099423	-	4390	0	0	2
ENSG00000268343	chr15	21004687	21005367	+	681	0	0	0
ENSG00000221519	chr13	36068551	36068674	-	124	0	0	0
ENSG00000236036	chr13	36271661	36273393	+	1733	0	0	0
ENSG00000207203	chr13	36841305	36841411	+	107	0	0	0
ENSG00000169861	chr21	10862622	10863067	+	446	0	0	1
ENSG00000266047	chr13	36929928	36930015	+	88	0	0	0
ENSG00000223383	chr13	37064215	37064578	-	364	0	0	0
ENSG00000222602	chr13	37302739	37302829	-	91	0	0	0
ENSG00000235306	chr13	37314178	37315000	+	823	0	0	4
ENSG00000223543	chr13	37316015	37316602	-	588	0	0	0
ENSG00000215486	chr13	37363469	37369187	+	5719	0	0	0
ENSG00000230031	chr15	21040701	21071643	-	30943	0	0	4
ENSG00000271337	chr13	37378335	37379439	-	1105	6	2	0
ENSG00000236711	chr13	37423503	37424183	-	681	0	0	0
ENSG00000228825	chr13	37496676	37497045	+	370	0	0	7
ENSG00000232378	chr13	37500575	37501356	-	782	0	0	15
ENSG00000226161	chr13	37512537	37513631	-	1095	28	2	271
ENSG00000221100	chr13	37608814	37608929	-	116	0	0	0
ENSG00000202395	chr13	37740489	37740795	-	307	0	0	0
ENSG00000230283	chr13	37794997	37795383	-	387	0	0	1
ENSG00000234034	chr21	23872924	23892377	-	19454	1	1	0
ENSG00000230390	chr13	38055604	38058906	-	3303	0	0	0
ENSG00000263796	chr21	24052992	24053286	+	295	0	0	0
ENSG00000199276	chr13	38428989	38429107	-	119	0	0	0
ENSG00000225906	chr21	24254903	24256321	+	1419	0	0	0
ENSG00000228036	chr13	38567222	38568857	-	1636	0	0	13
ENSG00000230972	chr21	24437813	24503528	+	65716	1	1	1
ENSG00000223685	chr13	38624954	38717369	-	92416	3	2	4
ENSG00000219368	chr21	24462350	24464153	-	1804	0	0	0
ENSG00000236354	chr13	39107480	39119436	-	11957	1	1	0
ENSG00000231058	chr21	24473545	24475396	+	1852	0	0	0
ENSG00000229437	chr13	39150777	39153131	+	2355	0	0	0
ENSG00000223078	chr21	24654058	24654231	-	174	2	1	0
ENSG00000234701	chr13	39191556	39192077	-	522	0	0	0
ENSG00000228592	chr21	24733426	24757182	-	23757	0	0	6
ENSG00000252795	chr13	39353561	39353653	+	93	0	0	0
ENSG00000212049	chr13	39364781	39364891	+	111	0	0	0
ENSG00000270824	chr15	21215823	21215845	-	23	0	0	0
