depth	type	well	gene_subset	num_cells	seed	genes	counts
50000000	molecules	B4H1	ENSG	1	1	8451	43337.00
50000000	reads	B4H1	ENSG	1	1	8454	19617330.00
50000000	molecules	D2H2	ENSG	1	1	7938	46691.00
50000000	reads	D2H2	ENSG	1	1	7946	18293546.00
60000000	molecules	A9E1	ENSG	1	1	8808	49853.00
60000000	reads	A9E1	ENSG	1	1	8816	29605964.00
60000000	molecules	B2E2	ENSG	1	1	10419	69585.00
60000000	reads	B2E2	ENSG	1	1	10424	31108869.00
60000000	molecules	B4H1	ENSG	1	1	8728	45823.00
60000000	reads	B4H1	ENSG	1	1	8730	23542424.00
60000000	molecules	D2H2	ENSG	1	1	8197	49240.00
60000000	reads	D2H2	ENSG	1	1	8203	21952729.00
70000000	molecules	A9E1	ENSG	1	1	9071	52236.00
70000000	reads	A9E1	ENSG	1	1	9081	34538593.00
70000000	molecules	B2E2	ENSG	1	1	10722	72909.00
70000000	reads	B2E2	ENSG	1	1	10725	36292924.00
70000000	molecules	B4H1	ENSG	1	1	8974	48179.00
70000000	reads	B4H1	ENSG	1	1	8976	27466678.00
70000000	molecules	D2H2	ENSG	1	1	8466	51643.00
70000000	reads	D2H2	ENSG	1	1	8471	25613061.00
80000000	molecules	A9E1	ENSG	1	1	9298	54516.00
80000000	reads	A9E1	ENSG	1	1	9309	39473508.00
80000000	molecules	B2E2	ENSG	1	1	10982	76077.00
80000000	reads	B2E2	ENSG	1	1	10985	41477462.00
80000000	molecules	B4H1	ENSG	1	1	9221	50375.00
80000000	reads	B4H1	ENSG	1	1	9223	31391827.00
80000000	molecules	D2H2	ENSG	1	1	8703	53762.00
80000000	reads	D2H2	ENSG	1	1	8708	29272272.00
1000000	molecules	A9E1	ERCC	1	1	41	1096.00
1000000	reads	A9E1	ERCC	1	1	41	38423.00
1000000	molecules	B2E2	ERCC	1	1	43	1041.00
1000000	reads	B2E2	ERCC	1	1	43	28688.00
1000000	molecules	B4H1	ERCC	1	1	37	1097.00
1000000	reads	B4H1	ERCC	1	1	38	30248.00
1000000	molecules	D2H2	ERCC	1	1	40	1075.00
1000000	reads	D2H2	ERCC	1	1	40	24817.00
10000000	molecules	A9E1	ERCC	1	1	41	1398.00
10000000	reads	A9E1	ERCC	1	1	41	383129.00
10000000	molecules	B2E2	ERCC	1	1	43	1336.00
10000000	reads	B2E2	ERCC	1	1	43	286413.00
10000000	molecules	B4H1	ERCC	1	1	42	1443.00
10000000	reads	B4H1	ERCC	1	1	42	304136.00
10000000	molecules	D2H2	ERCC	1	1	46	1422.00
10000000	reads	D2H2	ERCC	1	1	46	247207.00
20000000	molecules	A9E1	ERCC	1	1	41	1535.00
20000000	reads	A9E1	ERCC	1	1	41	766602.00
20000000	molecules	B2E2	ERCC	1	1	45	1473.00
20000000	reads	B2E2	ERCC	1	1	45	572549.00
20000000	molecules	B4H1	ERCC	1	1	41	1548.00
20000000	reads	B4H1	ERCC	1	1	42	606859.00
20000000	molecules	D2H2	ERCC	1	1	45	1562.00
20000000	reads	D2H2	ERCC	1	1	46	493353.00
30000000	molecules	A9E1	ERCC	1	1	42	1622.00
30000000	reads	A9E1	ERCC	1	1	42	1147748.00
30000000	molecules	B2E2	ERCC	1	1	45	1563.00
30000000	reads	B2E2	ERCC	1	1	45	859339.00
30000000	molecules	B4H1	ERCC	1	1	42	1636.00
30000000	reads	B4H1	ERCC	1	1	43	910622.00
30000000	molecules	D2H2	ERCC	1	1	45	1654.00
30000000	reads	D2H2	ERCC	1	1	46	740537.00
40000000	molecules	A9E1	ERCC	1	1	42	1683.00
40000000	reads	A9E1	ERCC	1	1	42	1530901.00
40000000	molecules	B2E2	ERCC	1	1	46	1642.00
40000000	reads	B2E2	ERCC	1	1	46	1145218.00
40000000	molecules	B4H1	ERCC	1	1	42	1704.00
40000000	reads	B4H1	ERCC	1	1	43	1213389.00
40000000	molecules	D2H2	ERCC	1	1	49	1724.00
40000000	reads	D2H2	ERCC	1	1	49	987483.00
50000000	molecules	A9E1	ERCC	1	1	42	1741.00
50000000	reads	A9E1	ERCC	1	1	42	1913990.00
50000000	molecules	B2E2	ERCC	1	1	46	1675.00
50000000	reads	B2E2	ERCC	1	1	46	1431398.00
50000000	molecules	B4H1	ERCC	1	1	43	1757.00
50000000	reads	B4H1	ERCC	1	1	44	1516643.00
50000000	molecules	D2H2	ERCC	1	1	49	1782.00
50000000	reads	D2H2	ERCC	1	1	49	1234420.00
60000000	molecules	A9E1	ERCC	1	1	42	1781.00
60000000	reads	A9E1	ERCC	1	1	42	2297790.00
60000000	molecules	B2E2	ERCC	1	1	47	1746.00
60000000	reads	B2E2	ERCC	1	1	47	1717526.00
60000000	molecules	B4H1	ERCC	1	1	44	1811.00
60000000	reads	B4H1	ERCC	1	1	44	1820271.00
60000000	molecules	D2H2	ERCC	1	1	49	1836.00
60000000	reads	D2H2	ERCC	1	1	49	1481051.00
70000000	molecules	A9E1	ERCC	1	1	42	1826.00
70000000	reads	A9E1	ERCC	1	1	42	2681183.00
70000000	molecules	B2E2	ERCC	1	1	47	1782.00
70000000	reads	B2E2	ERCC	1	1	47	2004049.00
70000000	molecules	B4H1	ERCC	1	1	44	1866.00
70000000	reads	B4H1	ERCC	1	1	44	2124256.00
70000000	molecules	D2H2	ERCC	1	1	49	1879.00
70000000	reads	D2H2	ERCC	1	1	49	1727888.00
80000000	molecules	A9E1	ERCC	1	1	42	1867.00
80000000	reads	A9E1	ERCC	1	1	42	3063500.00
80000000	molecules	B2E2	ERCC	1	1	47	1817.00
80000000	reads	B2E2	ERCC	1	1	47	2290913.00
80000000	molecules	B4H1	ERCC	1	1	44	1900.00
80000000	reads	B4H1	ERCC	1	1	44	2427129.00
80000000	molecules	D2H2	ERCC	1	1	50	1925.00
80000000	reads	D2H2	ERCC	1	1	50	1974231.00
