type	depth	gene_subset	seed	subsampled_cells	individual	replicate	lower_q	upper_q	available_ensg	used_ensg	available_ercc	used_ercc	potential_cells	available_cells	pearson_ensg	pearson_ercc	spearman_ensg	spearman_ercc	detected_ensg	detected_ercc	mean_counts_ensg	mean_counts_ercc	var_pearson	var_spearman
reads	50000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.74194	0.91585	0.73143	0.95596	5654	21	21386.2	390.2	0.7634	0.71119
molecules	50000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.77281	0.92682	0.75604	0.95844	5654	21	12903.6	231	0.82207	0.73865
reads	250000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80555	0.8636	0.83411	0.86369	9790	37	113498.8	1952.4	0.79615	0.80217
molecules	250000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.84024	0.90038	0.85849	0.86804	9790	37	27117.4	438.2	0.87941	0.83313
reads	250000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.47221	0.06752	0.50568	0.21289	3793	16	6672.6	19	0.5029	0.52953
molecules	250000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.48672	0.0712	0.53524	0.18644	3793	16	1766.8	4.8	0.56811	0.57985
reads	250000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.7635	0.93947	0.76564	0.96075	5997	22	106826.2	1934.4	0.74249	0.72872
molecules	250000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.82714	0.96831	0.80289	0.96355	5997	22	25350.6	433.8	0.85219	0.77179
reads	500000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80177	0.85938	0.84035	0.87149	10201	39	227267.8	3890.4	0.77584	0.80711
molecules	500000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.84714	0.90888	0.86896	0.88509	10201	39	32604.4	521.2	0.88757	0.842
reads	500000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.48811	0.09428	0.52138	0.23534	4166	18	13393.6	38.6	0.51815	0.54692
molecules	500000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.50563	0.07086	0.5575	0.19982	4166	18	2188.2	5.6	0.60833	0.61174
reads	500000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.76572	0.95279	0.76929	0.96047	6035	22	213874.2	3854.4	0.73287	0.7316
molecules	500000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.83946	0.97508	0.80922	0.96441	6035	22	30416.2	516	0.8598	0.77966
reads	1500000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.79473	0.83105	0.84622	0.87535	10755	39	681663.4	11759.8	0.74266	0.812
molecules	1500000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.8573	0.91069	0.88354	0.88351	10755	39	45453	738	0.8929	0.85215
reads	1500000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.50972	0.11106	0.54136	0.26758	4682	18	40146	120.6	0.53286	0.56941
molecules	1500000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.53696	0.06262	0.59737	0.14289	4682	18	3179	6.4	0.65634	0.64775
reads	1500000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.76737	0.96338	0.77254	0.96047	6073	22	641517.4	11649.2	0.71301	0.73317
molecules	1500000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.8553	0.97354	0.82015	0.96978	6073	22	42274	732	0.85727	0.78511
reads	4000000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.80187	0.93035	0.86212	0.92757	11437	41	1838688.8	22477.2	0.7294	0.8253
molecules	4000000	all	3	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.87318	0.95857	0.90105	0.95644	11437	40	74803.4	1150.6	0.89112	0.86304
reads	4000000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.56108	0.703	0.59289	0.72956	5347	20	111353	205	0.57474	0.61178
molecules	4000000	lower	3	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.59627	0.66565	0.66989	0.76536	5347	19	5624.8	14.8	0.70077	0.69291
reads	4000000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.78388	0.9652	0.77591	0.97064	6090	22	1727335.8	22286.6	0.73385	0.74417
molecules	4000000	upper	3	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.8627	0.98865	0.8194	0.97119	6090	22	69178.6	1136.8	0.83929	0.77821
reads	50000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.79417	0.93363	0.79853	0.92105	8335	29	23409.8	385	0.81859	0.78026
molecules	50000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80673	0.93693	0.81211	0.92148	8335	29	14112.2	230.4	0.8497	0.80394
reads	50000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.3892	0.43917	0.42828	0.50387	2629	8	1337.4	3.8	0.4332	0.47296
molecules	50000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.39374	0.39637	0.43371	0.45811	2629	8	851.2	2.2	0.48568	0.48809
reads	50000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.75623	0.96913	0.74127	0.95815	5706	22	22072.4	381.6	0.76821	0.7067
molecules	50000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78619	0.97709	0.76624	0.97061	5706	22	13261	228.4	0.81984	0.73991
reads	250000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.81527	0.93244	0.84237	0.92458	9911	34	117131	2003	0.80463	0.81034
molecules	250000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.84914	0.94624	0.86625	0.92642	9910	34	27833	454.6	0.88822	0.84665
reads	250000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.48988	0.51473	0.52679	0.54222	3886	13	6767.4	12.4	0.52119	0.5613
molecules	250000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.50659	0.49199	0.5545	0.49803	3885	13	1791	4	0.59236	0.61213
reads	250000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78189	0.96476	0.77532	0.96639	6025	22	110363.6	1992.2	0.7517	0.73289
molecules	250000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.83987	0.98437	0.81083	0.96382	6025	22	26042	451.2	0.86192	0.7889
reads	500000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.81046	0.9248	0.8493	0.92177	10234	36	234054.8	3974.2	0.78473	0.81433
molecules	500000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.85347	0.94926	0.87525	0.92725	10233	36	33523.2	546.4	0.89321	0.85011
reads	500000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.50187	0.53235	0.53839	0.5384	4178	15	13448.6	26.2	0.53454	0.56837
molecules	500000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.51843	0.51567	0.57422	0.48014	4177	15	2221	5	0.61544	0.63062
reads	500000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78571	0.96495	0.78046	0.9616	6056	22	220606.2	3951.6	0.74196	0.73528
molecules	500000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.8502	0.98657	0.81691	0.96886	6056	22	31302.2	542	0.86546	0.79202
reads	1500000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.80214	0.90897	0.85418	0.92241	10781	38	701796.4	11846	0.75275	0.81855
molecules	1500000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.86049	0.94463	0.88538	0.92062	10781	38	46545.6	760.8	0.89861	0.85933
reads	1500000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.51947	0.51553	0.55141	0.53287	4702	17	40076.4	81	0.54505	0.58128
molecules	1500000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.5469	0.44767	0.60694	0.41594	4702	17	3237.2	6.6	0.65459	0.65662
reads	1500000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.78674	0.96392	0.78465	0.95596	6079	22	661720	11777.2	0.73066	0.73844
molecules	1500000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.85935	0.98846	0.82337	0.97148	6079	22	43308.4	754.8	0.86739	0.8
reads	4000000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.78864	0.90728	0.8417	0.92602	11283	40	1813521.6	34023.8	0.72255	0.81622
molecules	4000000	all	4	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.86866	0.95902	0.89566	0.94101	11281	40	64154.2	1158.4	0.89437	0.86354
reads	4000000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.52832	0.66713	0.55655	0.70948	5194	19	107833.4	312.6	0.5506	0.60236
molecules	4000000	lower	4	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.57986	0.67562	0.64975	0.66368	5192	19	4759	13.6	0.69779	0.68431
reads	4000000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.74228	0.91636	0.75203	0.94805	6089	22	1705688.2	33766.6	0.6878	0.73457
molecules	4000000	upper	4	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.85915	0.9767	0.82109	0.96441	6089	22	59395.2	1146	0.84503	0.78517
reads	50000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.73094	0.91248	0.72705	0.87616	7576	29	17704.4	663.2	0.78958	0.73285
molecules	50000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.75487	0.92679	0.75007	0.89306	7576	29	9266.4	298.2	0.83627	0.76792
reads	50000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.32637	0.38638	0.35632	0.41511	2216	9	1272.8	4.2	0.37737	0.41406
molecules	50000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.33621	0.39484	0.36517	0.42555	2216	9	664	2.2	0.4384	0.43075
reads	50000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.65762	0.92165	0.6339	0.95311	5360	21	16431.6	659.2	0.76429	0.67849
molecules	50000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.70904	0.94843	0.67844	0.95842	5360	21	8602.4	296.2	0.84518	0.73433
reads	250000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.75222	0.9043	0.76968	0.91219	9149	32	88265	3283.2	0.78064	0.76956
molecules	250000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.8023	0.94606	0.81211	0.92605	9149	32	17479.8	472.2	0.87555	0.82085
reads	250000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.40958	0.56532	0.44237	0.60635	3300	12	6402.2	28	0.46403	0.50774
molecules	250000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.43037	0.64147	0.47195	0.6782	3300	12	1297.4	4	0.55551	0.55205
reads	250000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.65311	0.89398	0.66001	0.96499	5849	21	81862.8	3257.6	0.73052	0.70085
molecules	250000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.76144	0.94679	0.73249	0.96638	5849	21	16182.4	468.6	0.87233	0.77504
reads	500000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.75344	0.88842	0.77797	0.91426	9643	32	177001.4	6498.2	0.76547	0.77743
molecules	500000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.81529	0.93705	0.82871	0.91465	9643	32	22129.6	553.6	0.88185	0.83108
reads	500000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.43221	0.59608	0.46296	0.63821	3698	12	12834.8	63.4	0.48444	0.53372
molecules	500000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.4597	0.63778	0.50266	0.64431	3698	12	1668.2	5.6	0.59642	0.58904
reads	500000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.65101	0.87514	0.66523	0.96612	5945	21	164166.6	6439.2	0.71112	0.70643
molecules	500000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.77979	0.93284	0.74754	0.96018	5945	21	20461.4	548.4	0.87082	0.77929
reads	1500000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.75671	0.88691	0.78707	0.91987	10511	36	531167.2	19482.4	0.74197	0.78477
molecules	1500000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.8392	0.94517	0.86084	0.92763	10511	36	35844.8	810	0.88898	0.8422
reads	1500000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.46724	0.59419	0.49713	0.60381	4463	15	38476.8	185.6	0.50633	0.56762
molecules	1500000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.51518	0.59562	0.5704	0.57569	4463	15	2744.2	8.6	0.64758	0.6371
reads	1500000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.65388	0.91819	0.6689	0.97064	6048	22	492690.4	19311.4	0.68133	0.70859
molecules	1500000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.81439	0.97034	0.77548	0.96865	6048	22	33100.6	802.4	0.86478	0.77811
reads	4000000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.79164	0.84172	0.84411	0.89807	11399	38	1873201.4	29674.6	0.72115	0.81323
molecules	4000000	all	5	5	NA19098	NA	0	1	12192	12192	43	43	142	112	0.86989	0.92079	0.89518	0.93135	11397	38	70199.4	1148.2	0.89847	0.8624
reads	4000000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.54915	0.19642	0.56889	0.33705	5310	17	115888	206.8	0.55513	0.59096
molecules	4000000	lower	5	5	NA19098	NA	0	0.5	12192	6096	43	22	142	112	0.59426	0.38313	0.66097	0.54441	5308	17	5412.4	12.2	0.68645	0.66874
reads	4000000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.75727	0.91916	0.75602	0.97741	6089	22	1757313.4	29468.6	0.71154	0.73393
molecules	4000000	upper	5	5	NA19098	NA	0.5	1	12192	6096	43	22	142	112	0.85725	0.97236	0.81602	0.96752	6089	22	64787	1136.8	0.86163	0.80422
reads	50000	all	6	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.76354	0.90395	0.76337	0.87666	7968	28	20220.6	574.2	0.80139	0.76528
molecules	50000	all	6	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.78173	0.91669	0.78188	0.8748	7968	28	10931.4	262	0.84813	0.79421
reads	50000	lower	6	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.37027	0.30967	0.40493	0.34008	2426	8	1350	4.8	0.42235	0.47197
molecules	50000	lower	6	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.37799	0.28075	0.41453	0.33209	2426	8	758.4	2	0.48943	0.49418
reads	50000	upper	6	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.70023	0.91185	0.68438	0.95192	5542	21	18870.6	570.2	0.75594	0.69823
molecules	50000	upper	6	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.74313	0.93912	0.71921	0.96382	5542	21	10173	260.4	0.83727	0.73855
reads	250000	all	6	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.78167	0.89929	0.80426	0.90695	9444	31	100881	2837	0.78914	0.79535
molecules	250000	all	6	5	NA19098	NA	0	1	12192	12192	43	43	142	142	0.82323	0.94239	0.83775	0.92834	9444	31	20681.2	434.8	0.88561	0.83932
reads	250000	lower	6	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.44656	0.42562	0.48328	0.48484	3496	10	6753.4	25	0.51361	0.55224
molecules	250000	lower	6	5	NA19098	NA	0	0.5	12192	6096	43	22	142	142	0.46396	0.46094	0.51403	0.52425	3496	10	1494.4	3.4	0.5972	0.60321
reads	250000	upper	6	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.7077	0.92277	0.71299	0.963	5948	22	94127.6	2816.4	0.72676	0.71891
molecules	250000	upper	6	5	NA19098	NA	0.5	1	12192	6096	43	22	142	142	0.79294	0.97947	0.76422	0.9729	5948	22	19186.8	431.8	0.86875	0.77755
