ensg	mad_value	gene_names	is_cell_cycle	is_pluripotent
ENSG00000267260	0.194257689480655	CTD-2162K18.4	FALSE	FALSE
ENSG00000116962	0.193840727485283	NID1	FALSE	FALSE
ENSG00000154839	0.193220972671887	SKA1	FALSE	FALSE
ENSG00000180573	0.19301008716031	HIST1H2AC	TRUE	FALSE
ENSG00000055208	0.19267747348562	TAB2	FALSE	FALSE
ENSG00000106078	0.192677092658521	COBL	FALSE	FALSE
ENSG00000174469	0.191903765323618	CNTNAP2	FALSE	FALSE
ENSG00000131398	0.191855416121429	KCNC3	FALSE	FALSE
ENSG00000212719	0.191306812243406	C17orf51	FALSE	FALSE
ENSG00000166105	0.191122037533458	GLB1L3	FALSE	FALSE
ENSG00000162086	0.190323573580983	ZNF75A	FALSE	FALSE
ENSG00000010404	0.188975421669182	IDS	FALSE	FALSE
ENSG00000127337	0.187969372298479	YEATS4	FALSE	FALSE
ENSG00000185842	0.187884720283418	DNAH14	FALSE	FALSE
ENSG00000134146	0.187089412329092	DPH6	FALSE	FALSE
ENSG00000117593	0.186964027055556	DARS2	FALSE	FALSE
ENSG00000114054	0.186663751469545	PCCB	FALSE	FALSE
ENSG00000152208	0.185693083368193	GRID2	FALSE	FALSE
ENSG00000151967	0.185652706758	SCHIP1	FALSE	FALSE
ENSG00000169629	0.18462437844113	RGPD8	FALSE	FALSE
ENSG00000153006	0.184394721175792	SREK1IP1	FALSE	FALSE
ENSG00000130724	0.184038048917123	CHMP2A	FALSE	FALSE
ENSG00000196967	0.183204414876983	ZNF585A	FALSE	FALSE
ENSG00000152128	0.183074853469489	TMEM163	FALSE	FALSE
ENSG00000119686	0.182890908621513	FLVCR2	FALSE	FALSE
ENSG00000129103	0.182793646324731	SUMF2	FALSE	FALSE
ENSG00000165102	0.182000428651135	HGSNAT	FALSE	FALSE
ENSG00000131149	0.179096572276056	GSE1	FALSE	FALSE
ENSG00000167371	0.178664090095762	PRRT2	FALSE	FALSE
ENSG00000061794	0.178461754048822	MRPS35	FALSE	FALSE
ENSG00000162227	0.177682733826418	TAF6L	FALSE	FALSE
ENSG00000075391	0.177633309562302	RASAL2	FALSE	FALSE
ENSG00000203705	0.177371361454214	TATDN3	FALSE	FALSE
ENSG00000188227	0.176954922790835	ZNF793	FALSE	FALSE
ENSG00000139318	0.175709036855354	DUSP6	FALSE	FALSE
ENSG00000180263	0.175577595648567	FGD6	FALSE	FALSE
ENSG00000183955	0.175095533567792	SETD8	TRUE	FALSE
ENSG00000111790	0.173199391099513	FGFR1OP2	FALSE	FALSE
ENSG00000060718	0.173049402078728	COL11A1	FALSE	FALSE
ENSG00000005436	0.172990609496481	GCFC2	FALSE	FALSE
ENSG00000105357	0.172179025508198	MYH14	FALSE	FALSE
ENSG00000182372	0.172173236493699	CLN8	FALSE	FALSE
ENSG00000143353	0.171815093439386	LYPLAL1	FALSE	FALSE
ENSG00000136940	0.170224907874633	PDCL	FALSE	FALSE
ENSG00000123240	0.169761663075168	OPTN	FALSE	FALSE
ENSG00000140455	0.169668233947559	USP3	FALSE	FALSE
ENSG00000196655	0.169083815408337	TRAPPC4	FALSE	FALSE
ENSG00000162636	0.168555500334305	FAM102B	FALSE	FALSE
ENSG00000073584	0.167788192694395	SMARCE1	FALSE	FALSE
ENSG00000129244	0.167587123215162	ATP1B2	FALSE	FALSE
ENSG00000046647	0.1675504776045	GEMIN8	FALSE	FALSE
ENSG00000121644	0.167547327867744	DESI2	FALSE	FALSE
ENSG00000196531	0.167425745039038	NACA	FALSE	FALSE
ENSG00000166261	0.167263960088155	ZNF202	FALSE	FALSE
ENSG00000001461	0.167263126469294	NIPAL3	FALSE	FALSE
ENSG00000156973	0.167246185727684	PDE6D	FALSE	FALSE
ENSG00000145741	0.167199292991013	BTF3	FALSE	FALSE
ENSG00000041357	0.167144314511997	PSMA4	FALSE	FALSE
ENSG00000154309	0.166562495524074	DISP1	FALSE	FALSE
ENSG00000137266	0.166108906460884	SLC22A23	FALSE	FALSE
ENSG00000184216	0.165549557475556	IRAK1	FALSE	FALSE
ENSG00000015171	0.165349190387851	ZMYND11	FALSE	FALSE
ENSG00000095261	0.164180347641385	PSMD5	FALSE	FALSE
ENSG00000011243	0.163507977961627	AKAP8L	FALSE	FALSE
ENSG00000182986	0.16346188680443	ZNF320	FALSE	FALSE
ENSG00000157778	0.163019188313959	PSMG3	TRUE	FALSE
ENSG00000125124	0.163002175494062	BBS2	TRUE	FALSE
ENSG00000167311	0.162859041328957	ART5	FALSE	FALSE
ENSG00000183291	0.162749500106457	SEP15	FALSE	FALSE
ENSG00000162851	0.162570492444534	TFB2M	FALSE	FALSE
ENSG00000137509	0.16216358092923	PRCP	FALSE	FALSE
ENSG00000213020	0.162093102851489	ZNF611	FALSE	FALSE
ENSG00000187608	0.161646396777297	ISG15	FALSE	FALSE
ENSG00000117751	0.16154766616732	PPP1R8	FALSE	FALSE
ENSG00000084623	0.161490084429192	EIF3I	FALSE	FALSE
ENSG00000152932	0.161373953919583	RAB3C	FALSE	FALSE
ENSG00000188770	0.161344931978035	OPTC	FALSE	FALSE
ENSG00000059588	0.161162151571994	TARBP1	FALSE	FALSE
ENSG00000137872	0.160916622758696	SEMA6D	FALSE	FALSE
ENSG00000154957	0.160753944385418	ZNF18	FALSE	FALSE
ENSG00000165588	0.160117553343137	OTX2	FALSE	FALSE
ENSG00000185630	0.159574328172032	PBX1	FALSE	FALSE
ENSG00000107874	0.159029352328513	CUEDC2	FALSE	FALSE
ENSG00000092978	0.158999422262472	GPATCH2	FALSE	FALSE
ENSG00000128050	0.158611595654618	PAICS	FALSE	FALSE
ENSG00000176915	0.158277605563371	ANKLE2	FALSE	FALSE
ENSG00000156171	0.158251945734097	DRAM2	FALSE	FALSE
ENSG00000168259	0.157742109107584	DNAJC7	FALSE	FALSE
ENSG00000198755	0.157550273687843	RPL10A	FALSE	FALSE
ENSG00000139364	0.157242482515564	TMEM132B	FALSE	FALSE
ENSG00000124749	0.157150028112074	COL21A1	FALSE	FALSE
ENSG00000101882	0.156718336890062	NKAP	FALSE	FALSE
ENSG00000167904	0.15652754388662	TMEM68	FALSE	FALSE
ENSG00000167216	0.156020099791966	KATNAL2	FALSE	FALSE
ENSG00000154222	0.15500913562643	CC2D1B	FALSE	FALSE
ENSG00000134207	0.154850098609323	SYT6	FALSE	FALSE
ENSG00000132341	0.154387343025765	RAN	TRUE	FALSE
ENSG00000132128	0.153063024084041	LRRC41	FALSE	FALSE
ENSG00000164104	0.152706836827291	HMGB2	TRUE	FALSE
ENSG00000198105	0.152622484710102	ZNF248	FALSE	FALSE
ENSG00000139116	0.152461480035831	KIF21A	FALSE	FALSE
ENSG00000136628	0.152136490236272	EPRS	FALSE	FALSE
ENSG00000162244	0.152117984020637	RPL29	FALSE	FALSE
ENSG00000148634	0.15202486005633	HERC4	FALSE	FALSE
ENSG00000187145	0.151906344862184	MRPS21	FALSE	FALSE
ENSG00000197020	0.151300619306035	ZNF100	FALSE	FALSE
ENSG00000177706	0.151243926428768	FAM20C	FALSE	FALSE
ENSG00000147535	0.150959406447564	PPAPDC1B	FALSE	FALSE
ENSG00000173726	0.150899936990017	TOMM20	FALSE	FALSE
ENSG00000083093	0.150440051530747	PALB2	FALSE	FALSE
ENSG00000160298	0.150399705599852	C21orf58	FALSE	FALSE
ENSG00000186834	0.150370028489921	HEXIM1	FALSE	FALSE
ENSG00000160752	0.149604329006192	FDPS	FALSE	FALSE
ENSG00000119280	0.149459061629841	C1orf198	FALSE	FALSE
ENSG00000116667	0.148544821053232	C1orf21	FALSE	FALSE
ENSG00000138107	0.148344317839738	ACTR1A	FALSE	FALSE
ENSG00000132274	0.148241295509103	TRIM22	FALSE	FALSE
ENSG00000173207	0.14793175012845	CKS1B	TRUE	FALSE
ENSG00000251369	0.147863190198826	ZNF550	FALSE	FALSE
ENSG00000138442	0.147648705252524	WDR12	FALSE	FALSE
ENSG00000138495	0.147599982993142	COX17	FALSE	FALSE
ENSG00000214026	0.147565538725964	MRPL23	FALSE	FALSE
ENSG00000165733	0.147384737645958	BMS1	FALSE	FALSE
ENSG00000148950	0.14725903463699	IMMP1L	FALSE	FALSE
ENSG00000105499	0.147050428591156	PLA2G4C	FALSE	FALSE
ENSG00000115392	0.146964782779153	FANCL	FALSE	FALSE
ENSG00000169599	0.146759065316503	NFU1	FALSE	FALSE
ENSG00000054267	0.146545434771438	ARID4B	FALSE	FALSE
ENSG00000197024	0.146371092330599	ZNF398	FALSE	FALSE
ENSG00000213190	0.145468152873915	MLLT11	FALSE	FALSE
ENSG00000172171	0.144764074598414	TEFM	FALSE	FALSE
ENSG00000121413	0.144516899313683	ZSCAN18	FALSE	FALSE
ENSG00000169136	0.144346777188017	ATF5	FALSE	FALSE
ENSG00000165623	0.143484843572628	UCMA	FALSE	FALSE
ENSG00000168078	0.143218720324945	PBK	TRUE	FALSE
ENSG00000102316	0.142869025706973	MAGED2	FALSE	FALSE
ENSG00000143793	0.142777996984148	C1orf35	FALSE	FALSE
ENSG00000172954	0.1422712755884	LCLAT1	FALSE	FALSE
ENSG00000105176	0.14194477880172	URI1	FALSE	FALSE
ENSG00000170899	0.141737297965534	GSTA4	FALSE	FALSE
ENSG00000109919	0.141590236178989	MTCH2	FALSE	FALSE
ENSG00000145425	0.141278569529885	RPS3A	FALSE	FALSE
ENSG00000162910	0.14122430842562	MRPL55	FALSE	FALSE
ENSG00000115758	0.140799215265412	ODC1	FALSE	FALSE
ENSG00000154719	0.140781167183465	MRPL39	FALSE	FALSE
ENSG00000151353	0.14013450337773	TMEM18	FALSE	FALSE
ENSG00000154556	0.139879909276348	SORBS2	FALSE	FALSE
ENSG00000147586	0.139176520879644	MRPS28	FALSE	FALSE
ENSG00000184117	0.138685564343967	NIPSNAP1	FALSE	FALSE
ENSG00000116991	0.138245922705622	SIPA1L2	FALSE	FALSE
ENSG00000095906	0.138188802058115	NUBP2	FALSE	FALSE
ENSG00000106066	0.137309371369117	CPVL	FALSE	FALSE
ENSG00000105227	0.137202772873404	PRX	FALSE	FALSE
ENSG00000143248	0.136911977661214	RGS5	FALSE	FALSE
ENSG00000057663	0.136775595738434	ATG5	FALSE	FALSE
ENSG00000131174	0.136670929637534	COX7B	FALSE	FALSE
ENSG00000163362	0.136592033786153	C1orf106	FALSE	FALSE
ENSG00000118298	0.136536205352422	CA14	FALSE	FALSE
ENSG00000183617	0.136417129060145	MRPL54	FALSE	FALSE
ENSG00000105379	0.135931361410869	ETFB	FALSE	FALSE
ENSG00000135930	0.135665335917836	EIF4E2	FALSE	FALSE
ENSG00000116793	0.13522079837284	PHTF1	TRUE	FALSE
ENSG00000163479	0.135039725696666	SSR2	FALSE	FALSE
ENSG00000150456	0.135039445965278	N6AMT2	FALSE	FALSE
ENSG00000198435	0.134292390521167	NRARP	FALSE	FALSE
ENSG00000162769	0.133599419866558	FLVCR1	FALSE	FALSE
ENSG00000183783	0.133407125255116	KCTD8	FALSE	FALSE
ENSG00000145912	0.133177097450077	NHP2	FALSE	FALSE
ENSG00000139835	0.132895478729959	GRTP1	FALSE	FALSE
ENSG00000054118	0.132042449148099	THRAP3	TRUE	FALSE
ENSG00000198780	0.131999179894747	FAM169A	FALSE	FALSE
ENSG00000171863	0.131598673678426	RPS7	FALSE	FALSE
ENSG00000122482	0.131420204987799	ZNF644	FALSE	FALSE
ENSG00000013306	0.131175303139947	SLC25A39	FALSE	FALSE
ENSG00000153015	0.131097356191709	CWC27	FALSE	FALSE
ENSG00000213719	0.131080625428278	CLIC1	FALSE	FALSE
ENSG00000129534	0.130957175414184	MIS18BP1	TRUE	FALSE
ENSG00000116001	0.13088203026865	TIA1	FALSE	FALSE
ENSG00000164934	0.130821609575081	DCAF13	FALSE	FALSE
ENSG00000117543	0.130572215455274	DPH5	FALSE	FALSE
ENSG00000134001	0.130299535308246	EIF2S1	FALSE	FALSE
ENSG00000104823	0.129961576283057	ECH1	FALSE	FALSE
ENSG00000164611	0.129777697476431	PTTG1	TRUE	FALSE
ENSG00000181885	0.128488840404555	CLDN7	FALSE	FALSE
ENSG00000241837	0.128180614270527	ATP5O	FALSE	FALSE
ENSG00000108671	0.127193311257447	PSMD11	TRUE	FALSE
ENSG00000081181	0.12640799448901	ARG2	FALSE	FALSE
ENSG00000055044	0.126255355098088	NOP58	FALSE	FALSE
ENSG00000123560	0.125355470677025	PLP1	FALSE	FALSE
ENSG00000131711	0.124812137099787	MAP1B	FALSE	FALSE
ENSG00000145736	0.124303662923202	GTF2H2	FALSE	FALSE
ENSG00000173821	0.123952228282538	RNF213	FALSE	FALSE
ENSG00000088305	0.123517446018432	DNMT3B	FALSE	TRUE
ENSG00000125691	0.123459050294429	RPL23	FALSE	FALSE
ENSG00000181163	0.12317312172017	NPM1	FALSE	FALSE
ENSG00000143320	0.121643422904657	CRABP2	FALSE	FALSE
ENSG00000172115	0.121515944002732	CYCS	FALSE	FALSE
ENSG00000143799	0.120417504275786	PARP1	FALSE	FALSE
ENSG00000143774	0.119746064176126	GUK1	FALSE	FALSE
ENSG00000243147	0.113621318041721	MRPL33	FALSE	FALSE
ENSG00000143977	0.113604865000053	SNRPG	FALSE	FALSE
ENSG00000138430	0.113589212458715	OLA1	FALSE	FALSE
ENSG00000111669	0.112592771724822	TPI1	FALSE	FALSE
ENSG00000114942	0.105334736038792	EEF1B2	FALSE	FALSE
