individual	batch	well	rmdup	sickle	Assigned	Unassigned_Ambiguity	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_FragementLength	Unassigned_Chimera	Unassigned_Secondary
19239	1	F11	reads	quality-trimmed	2424254	123768	0	949067	1361303	0	0	0	0
19239	1	D11	reads	quality-trimmed	4043059	215155	0	1513748	2111149	0	0	0	0
19239	1	G06	reads	quality-trimmed	2602574	145548	0	907097	1300118	0	0	0	0
19239	1	G04	reads	quality-trimmed	2991775	150114	0	1177417	1870233	0	0	0	0
19239	1	H05	reads	quality-trimmed	3646018	173602	0	1102362	1681715	0	0	0	0
19239	1	E02	reads	quality-trimmed	1679111	62914	0	830082	1161201	0	0	0	0
19239	1	G07	reads	quality-trimmed	3661023	198482	0	1835094	2342723	0	0	0	0
19239	1	B12	reads	quality-trimmed	5056565	257737	0	2137144	2533303	0	0	0	0
19239	1	E01	reads	quality-trimmed	4226880	221289	0	1714904	1943847	0	0	0	0
19239	1	C02	reads	quality-trimmed	5585539	301566	0	2383704	3377235	0	0	0	0
19239	1	H02	reads	quality-trimmed	7778178	438195	0	2684290	4191382	0	0	0	0
19239	1	A09	reads	quality-trimmed	1670666	66931	0	752168	1134953	0	0	0	0
19239	1	A12	reads	quality-trimmed	3362846	173990	0	1250186	1975428	0	0	0	0
19239	1	H06	reads	quality-trimmed	2303390	107389	0	872678	1323489	0	0	0	0
19239	1	F01	reads	quality-trimmed	3101977	144818	0	1761345	1862348	0	0	0	0
19239	1	H08	reads	quality-trimmed	4238845	228732	0	1513874	2026640	0	0	0	0
19239	1	A08	reads	quality-trimmed	7228388	359470	0	2675303	3515738	0	0	0	0
19239	1	A9E1	reads	quality-trimmed	43033518	2541324	0	14763808	26201611	0	0	0	0
19239	1	D2H2	reads	quality-trimmed	52390550	2545897	0	31405694	52294144	0	0	0	0
19239	1	F03	molecules	quality-trimmed	17884	687	0	19249	0	0	0	0	0
19239	1	A01	molecules	quality-trimmed	65563	3267	0	30636	0	0	0	0	0
19239	1	G11	molecules	quality-trimmed	43641	2125	0	27097	0	0	0	0	0
19239	1	F04	molecules	quality-trimmed	77695	3536	0	64225	0	0	0	0	0
19239	1	G09	molecules	quality-trimmed	9716	419	0	9386	0	0	0	0	0
19239	1	A11	molecules	quality-trimmed	40021	1904	0	23791	0	0	0	0	0
19239	1	E11	molecules	quality-trimmed	45261	2097	0	28463	0	0	0	0	0
19239	1	C11	molecules	quality-trimmed	46716	2201	0	27049	0	0	0	0	0
19239	1	F12	molecules	quality-trimmed	24886	976	0	19734	0	0	0	0	0
19239	1	F08	molecules	quality-trimmed	43302	1913	0	38807	0	0	0	0	0
19239	1	F02	molecules	quality-trimmed	89937	4517	0	59136	0	0	0	0	0
19239	1	E03	molecules	quality-trimmed	94968	5047	0	48245	0	0	0	0	0
19239	1	B08	molecules	quality-trimmed	12365	514	0	5041	0	0	0	0	0
19239	1	A04	molecules	quality-trimmed	17013	691	0	8118	0	0	0	0	0
19239	1	A10	molecules	quality-trimmed	67528	3237	0	37250	0	0	0	0	0
19239	1	D11	molecules	quality-trimmed	71170	3663	0	40854	0	0	0	0	0
19239	1	G03	molecules	quality-trimmed	12736	573	0	4947	0	0	0	0	0
19239	1	C07	molecules	quality-trimmed	45504	2217	0	28815	0	0	0	0	0
19239	1	A05	molecules	quality-trimmed	48059	2408	0	30492	0	0	0	0	0
19239	1	C12	molecules	quality-trimmed	46250	2020	0	29690	0	0	0	0	0
19239	1	B06	molecules	quality-trimmed	84590	4524	0	46492	0	0	0	0	0
19239	1	D01	molecules	quality-trimmed	67448	3068	0	46013	0	0	0	0	0
19239	1	D10	molecules	quality-trimmed	119345	5088	0	130929	0	0	0	0	0
19239	1	B10	molecules	quality-trimmed	79617	4063	0	48384	0	0	0	0	0
19239	1	A08	molecules	quality-trimmed	99847	4933	0	56548	0	0	0	0	0
19239	1	H08	molecules	quality-trimmed	71690	3767	0	37617	0	0	0	0	0
19239	1	G04	molecules	quality-trimmed	68842	3517	0	39661	0	0	0	0	0
19239	1	F10	molecules	quality-trimmed	92617	4678	0	52286	0	0	0	0	0
19239	1	B03	molecules	quality-trimmed	89145	4727	0	44791	0	0	0	0	0
19239	1	H04	molecules	quality-trimmed	102939	5175	0	59855	0	0	0	0	0
19239	1	C03	molecules	quality-trimmed	98935	5259	0	56586	0	0	0	0	0
19239	1	H06	molecules	quality-trimmed	66095	3257	0	35518	0	0	0	0	0
19239	1	F09	molecules	quality-trimmed	32161	1504	0	22521	0	0	0	0	0
19239	1	D05	molecules	quality-trimmed	94270	4016	0	59380	0	0	0	0	0
19239	1	A09	molecules	quality-trimmed	31732	1427	0	19463	0	0	0	0	0
19239	1	B01	molecules	quality-trimmed	43968	2255	0	24639	0	0	0	0	0
19239	1	D03	molecules	quality-trimmed	58819	2902	0	34231	0	0	0	0	0
19239	1	C02	molecules	quality-trimmed	107229	5476	0	62671	0	0	0	0	0
19239	1	A03	molecules	quality-trimmed	13178	558	0	5376	0	0	0	0	0
19239	1	C04	molecules	quality-trimmed	11264	408	0	7508	0	0	0	0	0
19239	1	A06	molecules	quality-trimmed	68317	3156	0	52162	0	0	0	0	0
19239	1	D2H2	molecules	quality-trimmed	248276	12090	0	231504	0	0	0	0	0
19239	1	G07	molecules	quality-trimmed	60240	2984	0	40541	0	0	0	0	0
19239	1	D12	molecules	quality-trimmed	41342	2012	0	25869	0	0	0	0	0
19239	1	B2E2	molecules	quality-trimmed	263211	15257	0	159790	0	0	0	0	0
19239	1	H05	molecules	quality-trimmed	101433	5146	0	48642	0	0	0	0	0
19239	1	D07	reads	quality-trimmed	9222780	484136	0	3381378	4006013	0	0	0	0
19239	1	B4H1	reads	quality-trimmed	40839399	2121504	0	22337211	36853418	0	0	0	0
19239	1	C01	molecules	quality-trimmed	23668	926	0	20160	0	0	0	0	0
19239	1	D02	molecules	quality-trimmed	103357	5218	0	59789	0	0	0	0	0
19239	1	D03	reads	quality-trimmed	2633678	123536	0	1174683	1644409	0	0	0	0
19239	1	E05	reads	quality-trimmed	4055149	193241	0	1928621	2141680	0	0	0	0
19239	1	B02	reads	quality-trimmed	3123710	151595	0	1652749	1938954	0	0	0	0
19239	1	A07	molecules	quality-trimmed	96703	5047	0	59827	0	0	0	0	0
19239	1	C09	molecules	quality-trimmed	43501	1958	0	28889	0	0	0	0	0
19239	1	D06	reads	quality-trimmed	2018857	107528	0	846326	1210874	0	0	0	0
19239	1	F07	molecules	quality-trimmed	40511	1795	0	33405	0	0	0	0	0
19239	1	B07	molecules	quality-trimmed	60266	2957	0	38342	0	0	0	0	0
19239	1	E05	molecules	quality-trimmed	111260	5552	0	69397	0	0	0	0	0
19239	1	D06	molecules	quality-trimmed	53726	2874	0	32824	0	0	0	0	0
19239	1	D04	molecules	quality-trimmed	11769	435	0	4901	0	0	0	0	0
19239	1	F10	reads	quality-trimmed	6002321	312611	0	2194176	2971674	0	0	0	0
19239	1	D12	reads	quality-trimmed	2301021	115584	0	1063154	1364034	0	0	0	0
19239	1	H10	reads	quality-trimmed	4079461	155184	0	3627676	2718345	0	0	0	0
19239	1	G08	reads	quality-trimmed	5249481	230525	0	2592373	3130249	0	0	0	0
19239	1	E07	molecules	quality-trimmed	33363	1549	0	21177	0	0	0	0	0
19239	1	E12	molecules	quality-trimmed	84068	3932	0	51348	0	0	0	0	0
19239	1	H11	molecules	quality-trimmed	63736	3149	0	38609	0	0	0	0	0
19239	1	B04	molecules	quality-trimmed	54717	2564	0	36623	0	0	0	0	0
19239	1	E12	reads	quality-trimmed	4249034	194141	0	1811211	2108549	0	0	0	0
19239	1	G12	molecules	quality-trimmed	54047	2557	0	33016	0	0	0	0	0
19239	1	E08	molecules	quality-trimmed	33436	1539	0	25010	0	0	0	0	0
19239	1	C08	molecules	quality-trimmed	44672	1959	0	33202	0	0	0	0	0
19239	1	B04	reads	quality-trimmed	2036428	92734	0	1009634	1327821	0	0	0	0
19239	1	F03	reads	quality-trimmed	338546	4753	0	313385	1050156	0	0	0	0
19239	1	E11	reads	quality-trimmed	2394268	111491	0	1099645	1561102	0	0	0	0
19239	1	B11	reads	quality-trimmed	2318538	108560	0	1237810	1443546	0	0	0	0
19239	1	D08	reads	quality-trimmed	4800339	207262	0	2105519	2398232	0	0	0	0
19239	1	D09	molecules	quality-trimmed	53850	2610	0	26298	0	0	0	0	0
19239	1	H07	reads	quality-trimmed	218106	471	0	5943	655487	0	0	0	0
19239	1	H03	reads	quality-trimmed	4953922	243697	0	2869420	3140050	0	0	0	0
19239	1	G08	molecules	quality-trimmed	77283	3619	0	52757	0	0	0	0	0
19239	1	G02	molecules	quality-trimmed	14843	630	0	5513	0	0	0	0	0
19239	1	H12	molecules	quality-trimmed	10521	418	0	4186	0	0	0	0	0
19239	1	D05	reads	quality-trimmed	3522669	134040	0	1670077	1907150	0	0	0	0
19239	1	A10	reads	quality-trimmed	3877733	181479	0	1554799	1918157	0	0	0	0
19239	1	E06	molecules	quality-trimmed	48397	1970	0	32456	0	0	0	0	0
19239	1	G01	molecules	quality-trimmed	56704	2890	0	29658	0	0	0	0	0
19239	1	B11	molecules	quality-trimmed	43393	2053	0	29348	0	0	0	0	0
19239	1	C06	molecules	quality-trimmed	53102	2578	0	38747	0	0	0	0	0
19239	1	H07	molecules	quality-trimmed	10260	434	0	4220	0	0	0	0	0
19239	1	H01	molecules	quality-trimmed	72034	3559	0	42423	0	0	0	0	0
19239	1	C01	reads	quality-trimmed	771338	20835	0	746434	979467	0	0	0	0
