individual	replicate	well	rmdup	Assigned	Unassigned_Ambiguity	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_Chimera	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_Duplicate
NA19098	r1	B02	molecules	65319	1393	0	51012	0	0	0	0	0	0	0
NA19098	r1	B02	reads	1800882	37418	0	904834	1213216	0	0	0	0	0	0
NA19098	r1	B03	molecules	71078	1430	0	54753	0	0	0	0	0	0	0
NA19098	r1	B03	reads	2031720	33886	0	1070393	1277544	0	0	0	0	0	0
NA19098	r1	B04	molecules	70195	1421	0	54644	0	0	0	0	0	0	0
NA19098	r1	B04	reads	2031661	37325	0	1042041	1437676	0	0	0	0	0	0
NA19098	r1	B05	molecules	95967	2059	0	81378	0	0	0	0	0	0	0
NA19098	r1	B05	reads	2650619	49981	0	1572424	1613418	0	0	0	0	0	0
NA19098	r1	B06	molecules	78902	1651	0	59649	0	0	0	0	0	0	0
NA19098	r1	B06	reads	2198358	41811	0	1089205	1201020	0	0	0	0	0	0
NA19098	r1	B07	molecules	88099	1989	0	68911	0	0	0	0	0	0	0
NA19098	r1	B07	reads	2556225	55983	0	1289278	1564064	0	0	0	0	0	0
NA19098	r1	B08	molecules	100219	2060	0	73855	0	0	0	0	0	0	0
NA19098	r1	B08	reads	2289102	46073	0	1142141	1177486	0	0	0	0	0	0
NA19098	r1	B09	molecules	63787	1276	0	51445	0	0	0	0	0	0	0
NA19098	r1	B09	reads	1655188	28367	0	978044	1270495	0	0	0	0	0	0
NA19098	r1	B10	molecules	26298	505	0	18935	0	0	0	0	0	0	0
NA19098	r1	B10	reads	266507	2609	0	146719	420979	0	0	0	0	0	0
NA19098	r1	B11	molecules	60439	1220	0	47824	0	0	0	0	0	0	0
NA19098	r1	B11	reads	1623349	30823	0	921360	1331527	0	0	0	0	0	0
NA19098	r1	B12	molecules	98102	2078	0	70870	0	0	0	0	0	0	0
NA19098	r1	B12	reads	2748932	52379	0	1174427	1646047	0	0	0	0	0	0
NA19098	r1	C01	molecules	80906	1708	0	60449	0	0	0	0	0	0	0
NA19098	r1	C01	reads	2393216	51942	0	1093637	1364712	0	0	0	0	0	0
NA19098	r1	C02	molecules	93029	2017	0	72839	0	0	0	0	0	0	0
NA19098	r1	C02	reads	2456729	53953	0	1280303	1315232	0	0	0	0	0	0
NA19098	r1	C03	molecules	75160	1552	0	65019	0	0	0	0	0	0	0
NA19098	r1	C03	reads	2122023	42333	0	1519751	1468867	0	0	0	0	0	0
NA19098	r1	C04	molecules	69585	1376	0	58339	0	0	0	0	0	0	0
NA19098	r1	C04	reads	1858549	28976	0	1161611	1424335	0	0	0	0	0	0
NA19098	r1	C05	molecules	84583	1651	0	68056	0	0	0	0	0	0	0
NA19098	r1	C05	reads	2372065	45401	0	1398343	1373112	0	0	0	0	0	0
NA19098	r1	C06	molecules	93058	1998	0	70268	0	0	0	0	0	0	0
NA19098	r1	C06	reads	1999392	50728	0	1032001	1167630	0	0	0	0	0	0
NA19098	r1	C07	molecules	73325	1502	0	55068	0	0	0	0	0	0	0
NA19098	r1	C07	reads	1895321	35075	0	963000	819322	0	0	0	0	0	0
NA19098	r1	C08	molecules	59683	1184	0	47597	0	0	0	0	0	0	0
NA19098	r1	C08	reads	1544820	28497	0	798580	1197101	0	0	0	0	0	0
NA19098	r1	C09	molecules	76174	1602	0	60514	0	0	0	0	0	0	0
NA19098	r1	C09	reads	2006808	36313	0	1092508	1407071	0	0	0	0	0	0
NA19098	r1	C10	molecules	88076	1919	0	70009	0	0	0	0	0	0	0
NA19098	r1	C10	reads	2582338	53601	0	1281093	1557222	0	0	0	0	0	0
NA19098	r1	C11	molecules	103154	2124	0	78520	0	0	0	0	0	0	0
NA19098	r1	C11	reads	2578636	49952	0	1295700	1533201	0	0	0	0	0	0
NA19098	r1	C12	molecules	68735	1358	0	52748	0	0	0	0	0	0	0
NA19098	r1	C12	reads	1834898	33054	0	970020	1411845	0	0	0	0	0	0
NA19098	r1	D01	molecules	71181	1377	0	52641	0	0	0	0	0	0	0
NA19098	r1	D01	reads	2109457	35606	0	884511	1174129	0	0	0	0	0	0
NA19098	r1	D02	molecules	86101	1848	0	72424	0	0	0	0	0	0	0
NA19098	r1	D02	reads	2235476	44606	0	1453821	1175041	0	0	0	0	0	0
NA19098	r1	D03	molecules	87279	1895	0	68234	0	0	0	0	0	0	0
NA19098	r1	D03	reads	2848091	59302	0	1342044	1650987	0	0	0	0	0	0
NA19098	r1	D04	molecules	87759	1835	0	68862	0	0	0	0	0	0	0
NA19098	r1	D04	reads	2009026	38500	0	1077792	1439437	0	0	0	0	0	0
NA19098	r1	D05	molecules	44946	903	0	33984	0	0	0	0	0	0	0
NA19098	r1	D05	reads	1038423	16145	0	525934	876385	0	0	0	0	0	0
NA19098	r1	D06	molecules	89580	1764	0	66506	0	0	0	0	0	0	0
NA19098	r1	D06	reads	2189188	43990	0	1140800	999653	0	0	0	0	0	0
NA19098	r1	D07	molecules	42076	716	0	39026	0	0	0	0	0	0	0
NA19098	r1	D07	reads	834965	8513	0	800166	880809	0	0	0	0	0	0
NA19098	r1	D08	molecules	88804	1836	0	73457	0	0	0	0	0	0	0
NA19098	r1	D08	reads	3429259	64134	0	2054801	1492670	0	0	0	0	0	0
NA19098	r1	D09	molecules	66761	1370	0	57069	0	0	0	0	0	0	0
NA19098	r1	D09	reads	1825655	30625	0	1171581	1430201	0	0	0	0	0	0
NA19098	r1	D10	molecules	86217	1719	0	70854	0	0	0	0	0	0	0
NA19098	r1	D10	reads	3560175	57944	0	1841735	1983781	0	0	0	0	0	0
NA19098	r1	D11	molecules	54700	1102	0	40927	0	0	0	0	0	0	0
NA19098	r1	D11	reads	1463011	26699	0	777178	1217251	0	0	0	0	0	0
NA19098	r1	D12	molecules	89429	1960	0	63356	0	0	0	0	0	0	0
NA19098	r1	D12	reads	2860081	59692	0	1172983	1522854	0	0	0	0	0	0
NA19098	r1	E01	molecules	83109	1655	0	66588	0	0	0	0	0	0	0
NA19098	r1	E01	reads	3135163	60035	0	1566905	2109200	0	0	0	0	0	0
NA19098	r1	E02	molecules	90230	1871	0	71198	0	0	0	0	0	0	0
NA19098	r1	E02	reads	2150177	41034	0	1198485	1008365	0	0	0	0	0	0
NA19098	r1	E03	molecules	100381	2160	0	77176	0	0	0	0	0	0	0
NA19098	r1	E03	reads	2737644	53160	0	1365377	1401797	0	0	0	0	0	0
NA19098	r1	E04	molecules	15748	281	0	9824	0	0	0	0	0	0	0
NA19098	r1	E04	reads	101647	1508	0	27885	202816	0	0	0	0	0	0
NA19098	r1	E05	molecules	55531	1178	0	40300	0	0	0	0	0	0	0
NA19098	r1	E05	reads	1469652	29476	0	633836	978730	0	0	0	0	0	0
NA19098	r1	E06	molecules	90023	1818	0	72790	0	0	0	0	0	0	0
NA19098	r1	E06	reads	2565051	46780	0	1458485	1628658	0	0	0	0	0	0
NA19098	r1	E07	molecules	78577	1535	0	62609	0	0	0	0	0	0	0
NA19098	r1	E07	reads	2029555	33544	0	1156135	1344539	0	0	0	0	0	0
NA19098	r1	E08	molecules	100485	2121	0	76933	0	0	0	0	0	0	0
NA19098	r1	E08	reads	2875532	55689	0	1350822	1549496	0	0	0	0	0	0
NA19098	r1	E09	molecules	83965	1689	0	80971	0	0	0	0	0	0	0
NA19098	r1	E09	reads	2255577	41374	0	1718450	1559132	0	0	0	0	0	0
NA19098	r1	E10	molecules	89914	1916	0	64136	0	0	0	0	0	0	0
NA19098	r1	E10	reads	2414496	51424	0	1069838	1293141	0	0	0	0	0	0
NA19098	r1	E11	molecules	99096	1954	0	78541	0	0	0	0	0	0	0
NA19098	r1	E11	reads	2173121	42828	0	1250285	1291145	0	0	0	0	0	0
NA19098	r1	E12	molecules	61298	1275	0	47745	0	0	0	0	0	0	0
NA19098	r1	E12	reads	1640318	28597	0	903204	1277484	0	0	0	0	0	0
NA19098	r1	F01	molecules	93483	1853	0	206553	0	0	0	0	0	0	0
NA19098	r1	F01	reads	848800	14161	0	2712870	1298617	0	0	0	0	0	0
NA19098	r1	F02	molecules	96198	1958	0	69100	0	0	0	0	0	0	0
NA19098	r1	F02	reads	2896241	58422	0	1245821	1483930	0	0	0	0	0	0
NA19098	r1	F03	molecules	93228	2026	0	71308	0	0	0	0	0	0	0
NA19098	r1	F03	reads	2691040	56214	0	1189512	1382105	0	0	0	0	0	0
NA19098	r1	F04	molecules	39195	771	0	27341	0	0	0	0	0	0	0
NA19098	r1	F04	reads	703456	10920	0	301808	740441	0	0	0	0	0	0
NA19098	r1	F05	molecules	31816	606	0	44550	0	0	0	0	0	0	0
NA19098	r1	F05	reads	259727	2845	0	1146191	819827	0	0	0	0	0	0
NA19098	r1	F06	molecules	43313	778	0	32846	0	0	0	0	0	0	0
NA19098	r1	F06	reads	677550	5506	0	470415	802502	0	0	0	0	0	0
NA19098	r1	F07	molecules	56335	1123	0	42449	0	0	0	0	0	0	0
NA19098	r1	F07	reads	1361104	23237	0	690131	1063444	0	0	0	0	0	0
NA19098	r1	F08	molecules	70613	1523	0	56544	0	0	0	0	0	0	0
NA19098	r1	F08	reads	1864815	36202	0	1078390	1278780	0	0	0	0	0	0
NA19098	r1	F09	molecules	67573	1464	0	51265	0	0	0	0	0	0	0
NA19098	r1	F09	reads	1573644	28802	0	817368	1112644	0	0	0	0	0	0
NA19098	r1	F10	molecules	90402	1932	0	66588	0	0	0	0	0	0	0
NA19098	r1	F10	reads	2873248	60428	0	1320170	1662420	0	0	0	0	0	0
NA19098	r1	F11	molecules	83952	1884	0	66154	0	0	0	0	0	0	0
NA19098	r1	F11	reads	2536699	51068	0	1383726	1573371	0	0	0	0	0	0
NA19098	r1	F12	molecules	82152	1690	0	69211	0	0	0	0	0	0	0
NA19098	r1	F12	reads	2084482	38146	0	1110002	1443495	0	0	0	0	0	0
NA19098	r1	G01	molecules	69734	1503	0	55080	0	0	0	0	0	0	0
NA19098	r1	G01	reads	2004480	41403	0	1045001	1378122	0	0	0	0	0	0
NA19098	r1	G02	molecules	64025	1249	0	50037	0	0	0	0	0	0	0
NA19098	r1	G02	reads	1688325	30980	0	938953	1081075	0	0	0	0	0	0
NA19098	r1	G03	molecules	71183	1441	0	57864	0	0	0	0	0	0	0
NA19098	r1	G03	reads	1941499	34184	0	1183827	1250543	0	0	0	0	0	0
NA19098	r1	G04	molecules	83957	1750	0	63294	0	0	0	0	0	0	0
NA19098	r1	G04	reads	2155636	41755	0	1201685	1463692	0	0	0	0	0	0
NA19098	r1	G05	molecules	92168	1906	0	67788	0	0	0	0	0	0	0
NA19098	r1	G05	reads	2342075	45406	0	1184434	1327725	0	0	0	0	0	0
NA19098	r1	G06	molecules	79832	1684	0	60375	0	0	0	0	0	0	0
NA19098	r1	G06	reads	2214506	41912	0	1276102	1424195	0	0	0	0	0	0
NA19098	r1	G07	molecules	80992	1589	0	63762	0	0	0	0	0	0	0
NA19098	r1	G07	reads	2085475	36600	0	1129025	1386755	0	0	0	0	0	0
NA19098	r1	G08	molecules	55783	1153	0	39551	0	0	0	0	0	0	0
NA19098	r1	G08	reads	1285446	26955	0	600056	979435	0	0	0	0	0	0
NA19098	r1	G09	molecules	70609	1497	0	53275	0	0	0	0	0	0	0
NA19098	r1	G09	reads	1915980	39152	0	915025	1264786	0	0	0	0	0	0
NA19098	r1	G10	molecules	70759	1482	0	49355	0	0	0	0	0	0	0
NA19098	r1	G10	reads	2073472	42570	0	892407	1275470	0	0	0	0	0	0
NA19098	r1	G11	molecules	81409	1740	0	57345	0	0	0	0	0	0	0
NA19098	r1	G11	reads	2336811	45971	0	1063099	1059284	0	0	0	0	0	0
NA19098	r1	G12	molecules	64268	1403	0	50800	0	0	0	0	0	0	0
NA19098	r1	G12	reads	1745994	33390	0	950635	1457086	0	0	0	0	0	0
NA19098	r1	H01	molecules	78563	1692	0	55010	0	0	0	0	0	0	0
NA19098	r1	H01	reads	2295127	51275	0	976391	1091407	0	0	0	0	0	0
NA19098	r1	H02	molecules	69780	1347	0	51926	0	0	0	0	0	0	0
NA19098	r1	H02	reads	1731373	28906	0	851595	1085703	0	0	0	0	0	0
NA19098	r1	H03	molecules	72619	1437	0	63408	0	0	0	0	0	0	0
NA19098	r1	H03	reads	1816520	31366	0	906782	1360624	0	0	0	0	0	0
NA19098	r1	H04	molecules	78056	1620	0	60739	0	0	0	0	0	0	0
NA19098	r1	H04	reads	2580520	51511	0	1319579	1681440	0	0	0	0	0	0
NA19098	r1	H05	molecules	93068	2036	0	69561	0	0	0	0	0	0	0
NA19098	r1	H05	reads	2599113	54797	0	1199458	1587545	0	0	0	0	0	0
NA19098	r1	H06	molecules	48734	887	0	39198	0	0	0	0	0	0	0
NA19098	r1	H06	reads	971989	11987	0	802858	1117344	0	0	0	0	0	0
NA19098	r1	H07	molecules	68562	1404	0	58199	0	0	0	0	0	0	0
NA19098	r1	H07	reads	1859165	33913	0	978055	1308007	0	0	0	0	0	0
NA19098	r1	H08	molecules	28639	535	0	25107	0	0	0	0	0	0	0
NA19098	r1	H08	reads	289897	3964	0	227946	443141	0	0	0	0	0	0
NA19098	r1	H09	molecules	18160	349	0	12119	0	0	0	0	0	0	0
NA19098	r1	H09	reads	91525	1085	0	58267	213689	0	0	0	0	0	0
NA19098	r1	H10	molecules	63782	1259	0	46162	0	0	0	0	0	0	0
NA19098	r1	H10	reads	1865366	34267	0	925418	1363800	0	0	0	0	0	0
NA19098	r1	H11	molecules	93564	1823	0	74462	0	0	0	0	0	0	0
NA19098	r1	H11	reads	2687869	46071	0	1413478	1782087	0	0	0	0	0	0
NA19098	r1	H12	molecules	55462	1133	0	41815	0	0	0	0	0	0	0
NA19098	r1	H12	reads	1465443	25941	0	798143	1081096	0	0	0	0	0	0
NA19098	r2	A01	molecules	45270	561	0	32391	0	0	0	0	0	0	0
NA19098	r2	A01	reads	1268694	9884	0	608609	1719541	0	0	0	0	0	0
NA19098	r2	A02	molecules	104171	1797	0	71073	0	0	0	0	0	0	0
NA19098	r2	A02	reads	1774524	28841	0	878440	1688641	0	0	0	0	0	0
NA19098	r2	A03	molecules	104800	1879	0	72380	0	0	0	0	0	0	0
NA19098	r2	A03	reads	1936668	31786	0	958376	1810923	0	0	0	0	0	0
NA19098	r2	A04	molecules	78684	1447	0	55238	0	0	0	0	0	0	0
NA19098	r2	A04	reads	2087207	33867	0	948012	1825473	0	0	0	0	0	0
NA19098	r2	A05	molecules	101194	1881	0	67262	0	0	0	0	0	0	0
NA19098	r2	A05	reads	1722132	30235	0	787069	1388840	0	0	0	0	0	0
NA19098	r2	A06	molecules	41525	607	0	29616	0	0	0	0	0	0	0
NA19098	r2	A06	reads	804020	5477	0	385556	1631206	0	0	0	0	0	0
NA19098	r2	A07	molecules	92731	1721	0	53946	0	0	0	0	0	0	0
NA19098	r2	A07	reads	1840697	34145	0	659540	1370796	0	0	0	0	0	0
NA19098	r2	A08	molecules	77409	1395	0	57613	0	0	0	0	0	0	0
NA19098	r2	A08	reads	2067913	37004	0	976278	1957884	0	0	0	0	0	0
NA19098	r2	A09	molecules	43905	666	0	34758	0	0	0	0	0	0	0
NA19098	r2	A09	reads	854460	6011	0	605710	1725875	0	0	0	0	0	0
NA19098	r2	A10	molecules	81571	1465	0	57102	0	0	0	0	0	0	0
NA19098	r2	A10	reads	2251257	37238	0	984206	2068585	0	0	0	0	0	0
NA19098	r2	A11	molecules	82377	1489	0	62499	0	0	0	0	0	0	0
NA19098	r2	A11	reads	2143240	36718	0	1127925	2146510	0	0	0	0	0	0
NA19098	r2	A12	molecules	35822	607	0	20228	0	0	0	0	0	0	0
NA19098	r2	A12	reads	672704	7880	0	125768	1301138	0	0	0	0	0	0
NA19098	r2	B01	molecules	38163	595	0	32584	0	0	0	0	0	0	0
NA19098	r2	B01	reads	749202	6187	0	636651	1681195	0	0	0	0	0	0
NA19098	r2	B02	molecules	111775	2014	0	65649	0	0	0	0	0	0	0
NA19098	r2	B02	reads	1420883	23768	0	618190	1263735	0	0	0	0	0	0
NA19098	r2	B03	molecules	127713	2338	0	82844	0	0	0	0	0	0	0
NA19098	r2	B03	reads	2710396	47226	0	1188135	2222616	0	0	0	0	0	0
NA19098	r2	B04	molecules	77714	1476	0	59566	0	0	0	0	0	0	0
NA19098	r2	B04	reads	2189812	38187	0	1110011	2340489	0	0	0	0	0	0
NA19098	r2	B05	molecules	86765	1601	0	60400	0	0	0	0	0	0	0
NA19098	r2	B05	reads	2226217	40712	0	978285	2009144	0	0	0	0	0	0
NA19098	r2	B06	molecules	90585	1742	0	63840	0	0	0	0	0	0	0
NA19098	r2	B06	reads	1947475	39196	0	894338	1637615	0	0	0	0	0	0
NA19098	r2	B07	molecules	79132	1410	0	56473	0	0	0	0	0	0	0
NA19098	r2	B07	reads	2011920	34536	0	893458	2066940	0	0	0	0	0	0
NA19098	r2	B08	molecules	87694	1687	0	57382	0	0	0	0	0	0	0
NA19098	r2	B08	reads	2089454	40446	0	834511	1716755	0	0	0	0	0	0
NA19098	r2	B09	molecules	83832	1543	0	61915	0	0	0	0	0	0	0
NA19098	r2	B09	reads	2219445	40934	0	1079525	2032273	0	0	0	0	0	0
NA19098	r2	B10	molecules	90562	1678	0	60304	0	0	0	0	0	0	0
NA19098	r2	B10	reads	2077354	38324	0	806592	1675859	0	0	0	0	0	0
NA19098	r2	B11	molecules	43993	623	0	34492	0	0	0	0	0	0	0
NA19098	r2	B11	reads	946764	9085	0	531193	1708387	0	0	0	0	0	0
NA19098	r2	B12	molecules	29026	387	0	17290	0	0	0	0	0	0	0
NA19098	r2	B12	reads	400100	1466	0	50112	1062462	0	0	0	0	0	0
NA19098	r2	C01	molecules	81826	1487	0	59261	0	0	0	0	0	0	0
NA19098	r2	C01	reads	1928494	31853	0	948610	1671062	0	0	0	0	0	0
NA19098	r2	C02	molecules	81252	1414	0	52479	0	0	0	0	0	0	0
NA19098	r2	C02	reads	1269770	19252	0	585195	1533795	0	0	0	0	0	0
NA19098	r2	C03	molecules	87959	1545	0	58398	0	0	0	0	0	0	0
NA19098	r2	C03	reads	1637228	25174	0	748197	1924004	0	0	0	0	0	0
NA19098	r2	C04	molecules	34434	500	0	25713	0	0	0	0	0	0	0
NA19098	r2	C04	reads	548316	3719	0	271562	1407700	0	0	0	0	0	0
NA19098	r2	C05	molecules	76087	1269	0	54555	0	0	0	0	0	0	0
NA19098	r2	C05	reads	2081105	29786	0	941427	2068225	0	0	0	0	0	0
NA19098	r2	C06	molecules	83123	1398	0	64072	0	0	0	0	0	0	0
NA19098	r2	C06	reads	1531374	23787	0	826129	1408649	0	0	0	0	0	0
NA19098	r2	C07	molecules	72324	1280	0	49535	0	0	0	0	0	0	0
NA19098	r2	C07	reads	1607712	27759	0	722481	1255203	0	0	0	0	0	0
NA19098	r2	C08	molecules	73189	1291	0	59260	0	0	0	0	0	0	0
NA19098	r2	C08	reads	2028716	30807	0	1326090	2239202	0	0	0	0	0	0
NA19098	r2	C09	molecules	46356	696	0	38988	0	0	0	0	0	0	0
NA19098	r2	C09	reads	1056391	8394	0	841024	1814205	0	0	0	0	0	0
NA19098	r2	C10	molecules	73746	1184	0	57167	0	0	0	0	0	0	0
NA19098	r2	C10	reads	1938115	26346	0	1017075	2137822	0	0	0	0	0	0
NA19098	r2	C11	molecules	77248	1326	0	61183	0	0	0	0	0	0	0
NA19098	r2	C11	reads	2090717	33070	0	1152733	2277901	0	0	0	0	0	0
NA19098	r2	C12	molecules	72736	1279	0	52646	0	0	0	0	0	0	0
NA19098	r2	C12	reads	2040570	33232	0	849888	2158754	0	0	0	0	0	0
NA19098	r2	D01	molecules	69896	1285	0	49411	0	0	0	0	0	0	0
NA19098	r2	D01	reads	1877544	30858	0	884946	1708951	0	0	0	0	0	0
NA19098	r2	D02	molecules	59015	913	0	43305	0	0	0	0	0	0	0
NA19098	r2	D02	reads	947927	11392	0	545501	1335599	0	0	0	0	0	0
NA19098	r2	D03	molecules	73960	1166	0	56735	0	0	0	0	0	0	0
NA19098	r2	D03	reads	1711719	22683	0	973370	2297593	0	0	0	0	0	0
NA19098	r2	D04	molecules	81925	1362	0	67032	0	0	0	0	0	0	0
NA19098	r2	D04	reads	2090120	32689	0	1242984	1965887	0	0	0	0	0	0
NA19098	r2	D05	molecules	82233	1486	0	54143	0	0	0	0	0	0	0
NA19098	r2	D05	reads	2016289	35001	0	804725	1614800	0	0	0	0	0	0
NA19098	r2	D06	molecules	82345	1393	0	54577	0	0	0	0	0	0	0
NA19098	r2	D06	reads	1847971	29866	0	753795	1483402	0	0	0	0	0	0
NA19098	r2	D07	molecules	77943	1312	0	60469	0	0	0	0	0	0	0
NA19098	r2	D07	reads	1867576	28585	0	1124310	1559359	0	0	0	0	0	0
NA19098	r2	D08	molecules	81760	1429	0	56188	0	0	0	0	0	0	0
NA19098	r2	D08	reads	2173197	34973	0	925595	1863673	0	0	0	0	0	0
NA19098	r2	D09	molecules	35842	540	0	25920	0	0	0	0	0	0	0
NA19098	r2	D09	reads	805408	5466	0	385202	1483936	0	0	0	0	0	0
NA19098	r2	D10	molecules	85038	1504	0	62028	0	0	0	0	0	0	0
NA19098	r2	D10	reads	1968746	33382	0	919940	2061122	0	0	0	0	0	0
NA19098	r2	D11	molecules	86165	1532	0	63580	0	0	0	0	0	0	0
NA19098	r2	D11	reads	2287102	38682	0	1078796	2099084	0	0	0	0	0	0
NA19098	r2	D12	molecules	84010	1578	0	62507	0	0	0	0	0	0	0
NA19098	r2	D12	reads	2285859	44450	0	1136520	2124184	0	0	0	0	0	0
NA19098	r2	E01	molecules	92436	1696	0	60871	0	0	0	0	0	0	0
NA19098	r2	E01	reads	2337168	39781	0	972567	2072893	0	0	0	0	0	0
NA19098	r2	E02	molecules	101335	1886	0	67808	0	0	0	0	0	0	0
NA19098	r2	E02	reads	1820046	30710	0	932303	1525434	0	0	0	0	0	0
NA19098	r2	E03	molecules	113706	2025	0	77149	0	0	0	0	0	0	0
NA19098	r2	E03	reads	2074113	34553	0	1081028	1922367	0	0	0	0	0	0
NA19098	r2	E04	molecules	39139	506	0	28820	0	0	0	0	0	0	0
NA19098	r2	E04	reads	779590	5539	0	378551	1436529	0	0	0	0	0	0
NA19098	r2	E05	molecules	73537	1260	0	49295	0	0	0	0	0	0	0
NA19098	r2	E05	reads	2089597	32969	0	849638	2107213	0	0	0	0	0	0
NA19098	r2	E06	molecules	78426	1348	0	54548	0	0	0	0	0	0	0
NA19098	r2	E06	reads	2214760	34163	0	943433	2255083	0	0	0	0	0	0
NA19098	r2	E07	molecules	56621	869	0	34404	0	0	0	0	0	0	0
NA19098	r2	E07	reads	1327442	13183	0	389778	1752162	0	0	0	0	0	0
NA19098	r2	E08	molecules	94276	1719	0	69996	0	0	0	0	0	0	0
NA19098	r2	E08	reads	2130254	36956	0	1088016	1854064	0	0	0	0	0	0
NA19098	r2	E09	molecules	81817	1546	0	51842	0	0	0	0	0	0	0
NA19098	r2	E09	reads	2252894	43871	0	825855	1846543	0	0	0	0	0	0
NA19098	r2	E10	molecules	152607	2946	0	103844	0	0	0	0	0	0	0
NA19098	r2	E10	reads	1217790	21984	0	708324	881571	0	0	0	0	0	0
NA19098	r2	E11	molecules	96358	1770	0	67851	0	0	0	0	0	0	0
NA19098	r2	E11	reads	2180125	40132	0	998265	1776434	0	0	0	0	0	0
NA19098	r2	E12	molecules	75403	1279	0	55218	0	0	0	0	0	0	0
NA19098	r2	E12	reads	2117970	30529	0	977431	2148805	0	0	0	0	0	0
NA19098	r2	F01	molecules	46541	617	0	30811	0	0	0	0	0	0	0
NA19098	r2	F01	reads	863246	7194	0	443679	1387638	0	0	0	0	0	0
NA19098	r2	F02	molecules	109411	1927	0	69955	0	0	0	0	0	0	0
NA19098	r2	F02	reads	2114340	34919	0	936157	1984800	0	0	0	0	0	0
NA19098	r2	F03	molecules	106405	1925	0	66319	0	0	0	0	0	0	0
NA19098	r2	F03	reads	1831231	31075	0	826563	1716016	0	0	0	0	0	0
NA19098	r2	F04	molecules	90515	1640	0	71099	0	0	0	0	0	0	0
NA19098	r2	F04	reads	2211350	37392	0	1258524	2095367	0	0	0	0	0	0
NA19098	r2	F05	molecules	92061	1686	0	62282	0	0	0	0	0	0	0
NA19098	r2	F05	reads	2265958	43881	0	979737	1772953	0	0	0	0	0	0
NA19098	r2	F06	molecules	145798	2659	0	104773	0	0	0	0	0	0	0
NA19098	r2	F06	reads	1384562	24298	0	796111	1127232	0	0	0	0	0	0
NA19098	r2	F07	molecules	82535	1527	0	57961	0	0	0	0	0	0	0
NA19098	r2	F07	reads	2060183	34272	0	968186	1702498	0	0	0	0	0	0
NA19098	r2	F08	molecules	80533	1432	0	53122	0	0	0	0	0	0	0
NA19098	r2	F08	reads	2145375	35638	0	851415	1980491	0	0	0	0	0	0
NA19098	r2	F09	molecules	73543	1327	0	52909	0	0	0	0	0	0	0
NA19098	r2	F09	reads	2006530	35752	0	965054	1936665	0	0	0	0	0	0
NA19098	r2	F10	molecules	78208	1429	0	57281	0	0	0	0	0	0	0
NA19098	r2	F10	reads	2192727	38641	0	934455	2235388	0	0	0	0	0	0
NA19098	r2	F11	molecules	39808	559	0	29987	0	0	0	0	0	0	0
NA19098	r2	F11	reads	703328	3507	0	425837	1440952	0	0	0	0	0	0
